vds_dc, ids_ac
0.000,1.431E-5
0.050,7.010E-6
0.100,3.458E-6
0.150,2.855E-6
0.200,2.872E-6
0.250,3.012E-6
0.300,3.183E-6
0.350,3.361E-6
0.400,3.535E-6
0.450,3.703E-6
0.500,3.862E-6
0.550,4.011E-6
0.600,4.154E-6
0.650,4.293E-6
0.700,4.433E-6
0.750,4.580E-6
0.800,4.742E-6
0.850,4.926E-6
0.900,5.140E-6
