"vd_dc
References : ['mag(AC.I_Probe1.i)']
Dependency : [vd_dc]
Num. Points : [51]
Matrix Size : scalar
Type : Real","vg_dc
References : ['mag(AC.I_Probe1.i)']
Dependency : [vd_dc,vg_dc]
Num. Points : [51,51]
Matrix Size : scalar
Type : Real","freq
References : ['mag(AC.I_Probe1.i)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","mag(AC.I_Probe1.i)
References : []
Dependency : [vd_dc,vg_dc,freq]
Num. Points : [51,51,51]
Matrix Size : scalar
Type : Real"
vd_dc, vg_dc, freq, ids_ac
0.000,0.500,125.9e3,1.366E-8
0.000,0.500,158.5e3,1.719E-8
0.000,0.500,199.5e3,2.165E-8
0.000,0.500,251.2e3,2.725E-8
0.000,0.500,316.2e3,3.431E-8
0.000,0.500,398.1e3,4.319E-8
0.000,0.500,501.2e3,5.437E-8
0.000,0.500,631.0e3,6.845E-8
0.000,0.500,794.3e3,8.617E-8
0.000,0.500,1.000e6,1.085E-7
0.000,0.500,1.259e6,1.366E-7
0.000,0.500,1.585e6,1.719E-7
0.000,0.500,1.995e6,2.165E-7
0.000,0.500,2.512e6,2.725E-7
0.000,0.500,3.162e6,3.431E-7
0.000,0.500,3.981e6,4.319E-7
0.000,0.500,5.012e6,5.437E-7
0.000,0.500,6.310e6,6.845E-7
0.000,0.500,7.943e6,8.617E-7
0.000,0.500,10.00e6,1.085E-6
0.000,0.500,12.59e6,1.366E-6
0.000,0.500,15.85e6,1.719E-6
0.000,0.500,19.95e6,2.165E-6
0.000,0.500,25.12e6,2.725E-6
0.000,0.500,31.62e6,3.431E-6
0.000,0.500,39.81e6,4.319E-6
0.000,0.500,50.12e6,5.437E-6
0.000,0.500,63.10e6,6.845E-6
0.000,0.500,79.43e6,8.617E-6
0.000,0.500,100.0e6,1.085E-5
0.000,0.500,125.9e6,1.366E-5
0.000,0.500,158.5e6,1.719E-5
0.000,0.500,199.5e6,2.165E-5
0.000,0.500,251.2e6,2.725E-5
0.000,0.500,316.2e6,3.431E-5
0.000,0.500,398.1e6,4.319E-5
0.000,0.500,501.2e6,5.437E-5
0.000,0.500,631.0e6,6.845E-5
0.000,0.500,794.3e6,8.617E-5
0.000,0.500,1.000e9,1.085E-4
0.000,0.500,1.259e9,1.366E-4
0.000,0.500,1.585e9,1.719E-4
0.000,0.500,1.995e9,2.165E-4
0.000,0.500,2.512e9,2.725E-4
0.000,0.500,3.162e9,3.431E-4
0.000,0.500,3.981e9,4.319E-4
0.000,0.500,5.012e9,0.001
0.000,0.500,6.310e9,0.001
0.000,0.500,7.943e9,0.001
0.000,0.500,10.00e9,0.001
0.000,0.600,100.0e3,1.085E-8
0.000,0.600,125.9e3,1.366E-8
0.000,0.600,158.5e3,1.719E-8
0.000,0.600,199.5e3,2.165E-8
0.000,0.600,251.2e3,2.725E-8
0.000,0.600,316.2e3,3.431E-8
0.000,0.600,398.1e3,4.319E-8
0.000,0.600,501.2e3,5.437E-8
0.000,0.600,631.0e3,6.845E-8
0.000,0.600,794.3e3,8.617E-8
0.000,0.600,1.000e6,1.085E-7
0.000,0.600,1.259e6,1.366E-7
0.000,0.600,1.585e6,1.719E-7
0.000,0.600,1.995e6,2.165E-7
0.000,0.600,2.512e6,2.725E-7
0.000,0.600,3.162e6,3.431E-7
0.000,0.600,3.981e6,4.319E-7
0.000,0.600,5.012e6,5.437E-7
0.000,0.600,6.310e6,6.845E-7
0.000,0.600,7.943e6,8.617E-7
0.000,0.600,10.00e6,1.085E-6
0.000,0.600,12.59e6,1.366E-6
0.000,0.600,15.85e6,1.719E-6
0.000,0.600,19.95e6,2.165E-6
0.000,0.600,25.12e6,2.725E-6
0.000,0.600,31.62e6,3.431E-6
0.000,0.600,39.81e6,4.319E-6
0.000,0.600,50.12e6,5.437E-6
0.000,0.600,63.10e6,6.845E-6
0.000,0.600,79.43e6,8.617E-6
0.000,0.600,100.0e6,1.085E-5
0.000,0.600,125.9e6,1.366E-5
0.000,0.600,158.5e6,1.719E-5
0.000,0.600,199.5e6,2.165E-5
0.000,0.600,251.2e6,2.725E-5
0.000,0.600,316.2e6,3.431E-5
0.000,0.600,398.1e6,4.319E-5
0.000,0.600,501.2e6,5.437E-5
0.000,0.600,631.0e6,6.845E-5
0.000,0.600,794.3e6,8.617E-5
0.000,0.600,1.000e9,1.085E-4
0.000,0.600,1.259e9,1.366E-4
0.000,0.600,1.585e9,1.719E-4
0.000,0.600,1.995e9,2.165E-4
0.000,0.600,2.512e9,2.725E-4
0.000,0.600,3.162e9,3.431E-4
0.000,0.600,3.981e9,4.319E-4
0.000,0.600,5.012e9,0.001
0.000,0.600,6.310e9,0.001
0.000,0.600,7.943e9,0.001
0.000,0.600,10.00e9,0.001
0.000,0.700,100.0e3,1.085E-8
0.000,0.700,125.9e3,1.366E-8
0.000,0.700,158.5e3,1.719E-8
0.000,0.700,199.5e3,2.165E-8
0.000,0.700,251.2e3,2.725E-8
0.000,0.700,316.2e3,3.431E-8
0.000,0.700,398.1e3,4.319E-8
0.000,0.700,501.2e3,5.437E-8
0.000,0.700,631.0e3,6.845E-8
0.000,0.700,794.3e3,8.617E-8
0.000,0.700,1.000e6,1.085E-7
0.000,0.700,1.259e6,1.366E-7
0.000,0.700,1.585e6,1.719E-7
0.000,0.700,1.995e6,2.165E-7
0.000,0.700,2.512e6,2.725E-7
0.000,0.700,3.162e6,3.431E-7
0.000,0.700,3.981e6,4.319E-7
0.000,0.700,5.012e6,5.437E-7
0.000,0.700,6.310e6,6.845E-7
0.000,0.700,7.943e6,8.617E-7
0.000,0.700,10.00e6,1.085E-6
0.000,0.700,12.59e6,1.366E-6
0.000,0.700,15.85e6,1.719E-6
0.000,0.700,19.95e6,2.165E-6
0.000,0.700,25.12e6,2.725E-6
0.000,0.700,31.62e6,3.431E-6
0.000,0.700,39.81e6,4.319E-6
0.000,0.700,50.12e6,5.437E-6
0.000,0.700,63.10e6,6.845E-6
0.000,0.700,79.43e6,8.617E-6
0.000,0.700,100.0e6,1.085E-5
