vd_dc, vg_dc, freq, i_ds (ac)
0.200,0.900,6.310 MHz,8.304E-6
0.200,0.900,7.943 MHz,8.304E-6
0.200,0.900,10.00 MHz,8.304E-6
0.200,0.900,12.59 MHz,8.304E-6
0.200,0.900,15.85 MHz,8.304E-6
0.200,0.900,19.95 MHz,8.304E-6
0.200,0.900,25.12 MHz,8.304E-6
0.200,0.900,31.62 MHz,8.304E-6
0.200,0.900,39.81 MHz,8.304E-6
0.200,0.900,50.12 MHz,8.304E-6
0.200,0.900,63.10 MHz,8.304E-6
0.200,0.900,79.43 MHz,8.304E-6
0.200,0.900,100.0 MHz,8.304E-6
0.200,0.900,125.9 MHz,8.304E-6
0.200,0.900,158.5 MHz,8.304E-6
0.200,0.900,199.5 MHz,8.304E-6
0.200,0.900,251.2 MHz,8.304E-6
0.200,0.900,316.2 MHz,8.304E-6
0.200,0.900,398.1 MHz,8.304E-6
0.200,0.900,501.2 MHz,8.304E-6
0.200,0.900,631.0 MHz,8.304E-6
0.200,0.900,794.3 MHz,8.304E-6
0.200,0.900,1.000 GHz,8.304E-6
0.200,0.900,1.259 GHz,8.304E-6
0.200,0.900,1.585 GHz,8.304E-6
0.200,0.900,1.995 GHz,8.304E-6
0.200,0.900,2.512 GHz,8.304E-6
0.200,0.900,3.162 GHz,8.304E-6
0.200,0.900,3.981 GHz,8.305E-6
0.200,0.900,5.012 GHz,8.306E-6
0.200,0.900,6.310 GHz,8.307E-6
0.200,0.900,7.943 GHz,8.309E-6
0.200,0.900,10.00 GHz,8.312E-6
0.250,0.000,100.0 kHz,5.275E-10
0.250,0.000,125.9 kHz,5.275E-10
0.250,0.000,158.5 kHz,5.275E-10
0.250,0.000,199.5 kHz,5.275E-10
0.250,0.000,251.2 kHz,5.275E-10
0.250,0.000,316.2 kHz,5.275E-10
0.250,0.000,398.1 kHz,5.275E-10
0.250,0.000,501.2 kHz,5.275E-10
0.250,0.000,631.0 kHz,5.276E-10
0.250,0.000,794.3 kHz,5.277E-10
0.250,0.000,1.000 MHz,5.278E-10
0.250,0.000,1.259 MHz,5.280E-10
0.250,0.000,1.585 MHz,5.283E-10
0.250,0.000,1.995 MHz,5.287E-10
0.250,0.000,2.512 MHz,5.295E-10
0.250,0.000,3.162 MHz,5.307E-10
0.250,0.000,3.981 MHz,5.326E-10
0.250,0.000,5.012 MHz,5.355E-10
0.250,0.000,6.310 MHz,5.402E-10
0.250,0.000,7.943 MHz,5.474E-10
0.250,0.000,10.00 MHz,5.588E-10
0.250,0.000,12.59 MHz,5.763E-10
0.250,0.000,15.85 MHz,6.031E-10
0.250,0.000,19.95 MHz,6.432E-10
0.250,0.000,25.12 MHz,7.021E-10
0.250,0.000,31.62 MHz,7.865E-10
0.250,0.000,39.81 MHz,9.043E-10
0.250,0.000,50.12 MHz,1.065E-9
0.250,0.000,63.10 MHz,1.278E-9
0.250,0.000,79.43 MHz,1.558E-9
0.250,0.000,100.0 MHz,1.919E-9
0.250,0.000,125.9 MHz,2.382E-9
0.250,0.000,158.5 MHz,2.971E-9
0.250,0.000,199.5 MHz,3.719E-9
0.250,0.000,251.2 MHz,4.664E-9
0.250,0.000,316.2 MHz,5.858E-9
0.250,0.000,398.1 MHz,7.364E-9
0.250,0.000,501.2 MHz,9.262E-9
0.250,0.000,631.0 MHz,1.165E-8
0.250,0.000,794.3 MHz,1.466E-8
0.250,0.000,1.000 GHz,1.846E-8
0.250,0.000,1.259 GHz,2.323E-8
0.250,0.000,1.585 GHz,2.925E-8
0.250,0.000,1.995 GHz,3.682E-8
0.250,0.000,2.512 GHz,4.635E-8
0.250,0.000,3.162 GHz,5.835E-8
0.250,0.000,3.981 GHz,7.345E-8
0.250,0.000,5.012 GHz,9.247E-8
0.250,0.000,6.310 GHz,1.164E-7
0.250,0.000,7.943 GHz,1.466E-7
0.250,0.000,10.00 GHz,1.845E-7
0.250,0.050,100.0 kHz,1.887E-9
0.250,0.050,125.9 kHz,1.887E-9
0.250,0.050,158.5 kHz,1.887E-9
0.250,0.050,199.5 kHz,1.887E-9
0.250,0.050,251.2 kHz,1.887E-9
0.250,0.050,316.2 kHz,1.887E-9
0.250,0.050,398.1 kHz,1.887E-9
0.250,0.050,501.2 kHz,1.887E-9
0.250,0.050,631.0 kHz,1.887E-9
0.250,0.050,794.3 kHz,1.887E-9
0.250,0.050,1.000 MHz,1.887E-9
0.250,0.050,1.259 MHz,1.887E-9
0.250,0.050,1.585 MHz,1.888E-9
0.250,0.050,1.995 MHz,1.888E-9
0.250,0.050,2.512 MHz,1.888E-9
0.250,0.050,3.162 MHz,1.888E-9
0.250,0.050,3.981 MHz,1.889E-9
0.250,0.050,5.012 MHz,1.890E-9
0.250,0.050,6.310 MHz,1.891E-9
0.250,0.050,7.943 MHz,1.893E-9
0.250,0.050,10.00 MHz,1.897E-9
0.250,0.050,12.59 MHz,1.903E-9
0.250,0.050,15.85 MHz,1.912E-9
0.250,0.050,19.95 MHz,1.926E-9
0.250,0.050,25.12 MHz,1.948E-9
0.250,0.050,31.62 MHz,1.983E-9
0.250,0.050,39.81 MHz,2.037E-9
0.250,0.050,50.12 MHz,2.120E-9
0.250,0.050,63.10 MHz,2.244E-9
0.250,0.050,79.43 MHz,2.429E-9
0.250,0.050,100.0 MHz,2.696E-9
0.250,0.050,125.9 MHz,3.071E-9
0.250,0.050,158.5 MHz,3.587E-9
0.250,0.050,199.5 MHz,4.279E-9
0.250,0.050,251.2 MHz,5.190E-9
0.250,0.050,316.2 MHz,6.372E-9
0.250,0.050,398.1 MHz,7.891E-9
0.250,0.050,501.2 MHz,9.829E-9
0.250,0.050,631.0 MHz,1.229E-8
0.250,0.050,794.3 MHz,1.540E-8
0.250,0.050,1.000 GHz,1.934E-8
0.250,0.050,1.259 GHz,2.430E-8
0.250,0.050,1.585 GHz,3.056E-8
0.250,0.050,1.995 GHz,3.845E-8
0.250,0.050,2.512 GHz,4.838E-8
0.250,0.050,3.162 GHz,6.089E-8
0.250,0.050,3.981 GHz,7.665E-8
0.250,0.050,5.012 GHz,9.648E-8
0.250,0.050,6.310 GHz,1.215E-7
0.250,0.050,7.943 GHz,1.529E-7
0.250,0.050,10.00 GHz,1.925E-7
0.250,0.100,100.0 kHz,6.678E-9
0.250,0.100,125.9 kHz,6.678E-9
0.250,0.100,158.5 kHz,6.678E-9
0.250,0.100,199.5 kHz,6.678E-9
0.250,0.100,251.2 kHz,6.678E-9
0.250,0.100,316.2 kHz,6.678E-9
0.250,0.100,398.1 kHz,6.678E-9
0.250,0.100,501.2 kHz,6.678E-9
0.250,0.100,631.0 kHz,6.678E-9
0.250,0.100,794.3 kHz,6.678E-9
0.250,0.100,1.000 MHz,6.678E-9
0.250,0.100,1.259 MHz,6.678E-9
0.250,0.100,1.585 MHz,6.678E-9
0.250,0.100,1.995 MHz,6.678E-9
0.250,0.100,2.512 MHz,6.678E-9
0.250,0.100,3.162 MHz,6.679E-9
0.250,0.100,3.981 MHz,6.679E-9
0.250,0.100,5.012 MHz,6.679E-9
0.250,0.100,6.310 MHz,6.679E-9
0.250,0.100,7.943 MHz,6.680E-9
0.250,0.100,10.00 MHz,6.681E-9
0.250,0.100,12.59 MHz,6.683E-9
0.250,0.100,15.85 MHz,6.686E-9
0.250,0.100,19.95 MHz,6.690E-9
0.250,0.100,25.12 MHz,6.697E-9
0.250,0.100,31.62 MHz,6.709E-9
0.250,0.100,39.81 MHz,6.727E-9
0.250,0.100,50.12 MHz,6.755E-9
0.250,0.100,63.10 MHz,6.799E-9
0.250,0.100,79.43 MHz,6.869E-9
0.250,0.100,100.0 MHz,6.978E-9
0.250,0.100,125.9 MHz,7.147E-9
0.250,0.100,158.5 MHz,7.407E-9
0.250,0.100,199.5 MHz,7.802E-9
0.250,0.100,251.2 MHz,8.390E-9
0.250,0.100,316.2 MHz,9.246E-9
0.250,0.100,398.1 MHz,1.046E-8
0.250,0.100,501.2 MHz,1.214E-8
0.250,0.100,631.0 MHz,1.440E-8
0.250,0.100,794.3 MHz,1.739E-8
0.250,0.100,1.000 GHz,2.129E-8
0.250,0.100,1.259 GHz,2.632E-8
0.250,0.100,1.585 GHz,3.273E-8
0.250,0.100,1.995 GHz,4.089E-8
0.250,0.100,2.512 GHz,5.123E-8
0.250,0.100,3.162 GHz,6.429E-8
0.250,0.100,3.981 GHz,8.077E-8
0.250,0.100,5.012 GHz,1.016E-7
0.250,0.100,6.310 GHz,1.278E-7
0.250,0.100,7.943 GHz,1.607E-7
0.250,0.100,10.00 GHz,2.023E-7
0.250,0.150,100.0 kHz,2.320E-8
0.250,0.150,125.9 kHz,2.320E-8
0.250,0.150,158.5 kHz,2.320E-8
0.250,0.150,199.5 kHz,2.320E-8
0.250,0.150,251.2 kHz,2.320E-8
0.250,0.150,316.2 kHz,2.320E-8
0.250,0.150,398.1 kHz,2.320E-8
0.250,0.150,501.2 kHz,2.320E-8
0.250,0.150,631.0 kHz,2.320E-8
0.250,0.150,794.3 kHz,2.320E-8
0.250,0.150,1.000 MHz,2.320E-8
0.250,0.150,1.259 MHz,2.320E-8
0.250,0.150,1.585 MHz,2.320E-8
0.250,0.150,1.995 MHz,2.320E-8
0.250,0.150,2.512 MHz,2.320E-8
0.250,0.150,3.162 MHz,2.320E-8
0.250,0.150,3.981 MHz,2.320E-8
0.250,0.150,5.012 MHz,2.320E-8
0.250,0.150,6.310 MHz,2.320E-8
0.250,0.150,7.943 MHz,2.320E-8
0.250,0.150,10.00 MHz,2.320E-8
0.250,0.150,12.59 MHz,2.320E-8
0.250,0.150,15.85 MHz,2.320E-8
0.250,0.150,19.95 MHz,2.320E-8
0.250,0.150,25.12 MHz,2.321E-8
0.250,0.150,31.62 MHz,2.321E-8
0.250,0.150,39.81 MHz,2.322E-8
0.250,0.150,50.12 MHz,2.323E-8
0.250,0.150,63.10 MHz,2.324E-8
0.250,0.150,79.43 MHz,2.326E-8
0.250,0.150,100.0 MHz,2.330E-8
0.250,0.150,125.9 MHz,2.336E-8
0.250,0.150,158.5 MHz,2.345E-8
0.250,0.150,199.5 MHz,2.359E-8
0.250,0.150,251.2 MHz,2.381E-8
0.250,0.150,316.2 MHz,2.416E-8
0.250,0.150,398.1 MHz,2.471E-8
0.250,0.150,501.2 MHz,2.555E-8
0.250,0.150,631.0 MHz,2.683E-8
0.250,0.150,794.3 MHz,2.874E-8
0.250,0.150,1.000 GHz,3.154E-8
0.250,0.150,1.259 GHz,3.552E-8
0.250,0.150,1.585 GHz,4.104E-8
0.250,0.150,1.995 GHz,4.853E-8
0.250,0.150,2.512 GHz,5.846E-8
0.250,0.150,3.162 GHz,7.142E-8
0.250,0.150,3.981 GHz,8.815E-8
0.250,0.150,5.012 GHz,1.095E-7
0.250,0.150,6.310 GHz,1.368E-7
0.250,0.150,7.943 GHz,1.713E-7
0.250,0.150,10.00 GHz,2.149E-7
0.250,0.200,100.0 kHz,7.811E-8
0.250,0.200,125.9 kHz,7.811E-8
0.250,0.200,158.5 kHz,7.811E-8
0.250,0.200,199.5 kHz,7.811E-8
0.250,0.200,251.2 kHz,7.811E-8
0.250,0.200,316.2 kHz,7.811E-8
0.250,0.200,398.1 kHz,7.811E-8
0.250,0.200,501.2 kHz,7.811E-8
0.250,0.200,631.0 kHz,7.811E-8
0.250,0.200,794.3 kHz,7.811E-8
0.250,0.200,1.000 MHz,7.811E-8
0.250,0.200,1.259 MHz,7.811E-8
0.250,0.200,1.585 MHz,7.811E-8
0.250,0.200,1.995 MHz,7.811E-8
0.250,0.200,2.512 MHz,7.811E-8
0.250,0.200,3.162 MHz,7.811E-8
0.250,0.200,3.981 MHz,7.811E-8
0.250,0.200,5.012 MHz,7.812E-8
0.250,0.200,6.310 MHz,7.812E-8
0.250,0.200,7.943 MHz,7.812E-8
0.250,0.200,10.00 MHz,7.812E-8
0.250,0.200,12.59 MHz,7.812E-8
0.250,0.200,15.85 MHz,7.812E-8
0.250,0.200,19.95 MHz,7.812E-8
0.250,0.200,25.12 MHz,7.812E-8
0.250,0.200,31.62 MHz,7.812E-8
0.250,0.200,39.81 MHz,7.812E-8
0.250,0.200,50.12 MHz,7.812E-8
0.250,0.200,63.10 MHz,7.813E-8
0.250,0.200,79.43 MHz,7.814E-8
0.250,0.200,100.0 MHz,7.815E-8
0.250,0.200,125.9 MHz,7.817E-8
0.250,0.200,158.5 MHz,7.820E-8
0.250,0.200,199.5 MHz,7.825E-8
0.250,0.200,251.2 MHz,7.832E-8
0.250,0.200,316.2 MHz,7.844E-8
0.250,0.200,398.1 MHz,7.863E-8
0.250,0.200,501.2 MHz,7.893E-8
0.250,0.200,631.0 MHz,7.941E-8
0.250,0.200,794.3 MHz,8.016E-8
0.250,0.200,1.000 GHz,8.133E-8
0.250,0.200,1.259 GHz,8.315E-8
0.250,0.200,1.585 GHz,8.595E-8
0.250,0.200,1.995 GHz,9.022E-8
0.250,0.200,2.512 GHz,9.660E-8
0.250,0.200,3.162 GHz,1.059E-7
0.250,0.200,3.981 GHz,1.192E-7
0.250,0.200,5.012 GHz,1.377E-7
0.250,0.200,6.310 GHz,1.627E-7
0.250,0.200,7.943 GHz,1.960E-7
0.250,0.200,10.00 GHz,2.393E-7
0.250,0.250,100.0 kHz,2.501E-7
0.250,0.250,125.9 kHz,2.501E-7
0.250,0.250,158.5 kHz,2.501E-7
0.250,0.250,199.5 kHz,2.501E-7
0.250,0.250,251.2 kHz,2.501E-7
0.250,0.250,316.2 kHz,2.501E-7
0.250,0.250,398.1 kHz,2.501E-7
0.250,0.250,501.2 kHz,2.501E-7
0.250,0.250,631.0 kHz,2.501E-7
0.250,0.250,794.3 kHz,2.501E-7
0.250,0.250,1.000 MHz,2.501E-7
0.250,0.250,1.259 MHz,2.501E-7
0.250,0.250,1.585 MHz,2.501E-7
0.250,0.250,1.995 MHz,2.501E-7
0.250,0.250,2.512 MHz,2.501E-7
0.250,0.250,3.162 MHz,2.501E-7
0.250,0.250,3.981 MHz,2.501E-7
0.250,0.250,5.012 MHz,2.501E-7
0.250,0.250,6.310 MHz,2.501E-7
0.250,0.250,7.943 MHz,2.501E-7
0.250,0.250,10.00 MHz,2.501E-7
0.250,0.250,12.59 MHz,2.501E-7
0.250,0.250,15.85 MHz,2.501E-7
0.250,0.250,19.95 MHz,2.501E-7
0.250,0.250,25.12 MHz,2.501E-7
0.250,0.250,31.62 MHz,2.501E-7
0.250,0.250,39.81 MHz,2.501E-7
0.250,0.250,50.12 MHz,2.501E-7
0.250,0.250,63.10 MHz,2.501E-7
0.250,0.250,79.43 MHz,2.501E-7
0.250,0.250,100.0 MHz,2.501E-7
0.250,0.250,125.9 MHz,2.501E-7
0.250,0.250,158.5 MHz,2.501E-7
0.250,0.250,199.5 MHz,2.501E-7
0.250,0.250,251.2 MHz,2.502E-7
0.250,0.250,316.2 MHz,2.502E-7
0.250,0.250,398.1 MHz,2.503E-7
0.250,0.250,501.2 MHz,2.504E-7
0.250,0.250,631.0 MHz,2.506E-7
0.250,0.250,794.3 MHz,2.508E-7
0.250,0.250,1.000 GHz,2.512E-7
0.250,0.250,1.259 GHz,2.519E-7
0.250,0.250,1.585 GHz,2.530E-7
0.250,0.250,1.995 GHz,2.546E-7
0.250,0.250,2.512 GHz,2.572E-7
0.250,0.250,3.162 GHz,2.613E-7
0.250,0.250,3.981 GHz,2.676E-7
0.250,0.250,5.012 GHz,2.774E-7
0.250,0.250,6.310 GHz,2.921E-7
0.250,0.250,7.943 GHz,3.141E-7
0.250,0.250,10.00 GHz,3.461E-7
0.250,0.300,100.0 kHz,7.444E-7
0.250,0.300,125.9 kHz,7.444E-7
0.250,0.300,158.5 kHz,7.444E-7
0.250,0.300,199.5 kHz,7.444E-7
0.250,0.300,251.2 kHz,7.444E-7
0.250,0.300,316.2 kHz,7.444E-7
0.250,0.300,398.1 kHz,7.444E-7
0.250,0.300,501.2 kHz,7.444E-7
0.250,0.300,631.0 kHz,7.444E-7
0.250,0.300,794.3 kHz,7.444E-7
0.250,0.300,1.000 MHz,7.444E-7
0.250,0.300,1.259 MHz,7.444E-7
0.250,0.300,1.585 MHz,7.444E-7
0.250,0.300,1.995 MHz,7.444E-7
0.250,0.300,2.512 MHz,7.444E-7
0.250,0.300,3.162 MHz,7.444E-7
0.250,0.300,3.981 MHz,7.444E-7
0.250,0.300,5.012 MHz,7.444E-7
0.250,0.300,6.310 MHz,7.444E-7
0.250,0.300,7.943 MHz,7.444E-7
0.250,0.300,10.00 MHz,7.444E-7
0.250,0.300,12.59 MHz,7.444E-7
0.250,0.300,15.85 MHz,7.444E-7
0.250,0.300,19.95 MHz,7.444E-7
0.250,0.300,25.12 MHz,7.444E-7
0.250,0.300,31.62 MHz,7.444E-7
0.250,0.300,39.81 MHz,7.444E-7
0.250,0.300,50.12 MHz,7.444E-7
0.250,0.300,63.10 MHz,7.444E-7
0.250,0.300,79.43 MHz,7.444E-7
0.250,0.300,100.0 MHz,7.444E-7
0.250,0.300,125.9 MHz,7.444E-7
0.250,0.300,158.5 MHz,7.444E-7
0.250,0.300,199.5 MHz,7.444E-7
0.250,0.300,251.2 MHz,7.444E-7
0.250,0.300,316.2 MHz,7.445E-7
0.250,0.300,398.1 MHz,7.445E-7
0.250,0.300,501.2 MHz,7.445E-7
0.250,0.300,631.0 MHz,7.446E-7
0.250,0.300,794.3 MHz,7.447E-7
0.250,0.300,1.000 GHz,7.448E-7
0.250,0.300,1.259 GHz,7.451E-7
0.250,0.300,1.585 GHz,7.455E-7
0.250,0.300,1.995 GHz,7.461E-7
0.250,0.300,2.512 GHz,7.471E-7
0.250,0.300,3.162 GHz,7.486E-7
0.250,0.300,3.981 GHz,7.511E-7
0.250,0.300,5.012 GHz,7.550E-7
0.250,0.300,6.310 GHz,7.611E-7
0.250,0.300,7.943 GHz,7.708E-7
0.250,0.300,10.00 GHz,7.858E-7
0.250,0.350,100.0 kHz,2.012E-6
0.250,0.350,125.9 kHz,2.012E-6
0.250,0.350,158.5 kHz,2.012E-6
0.250,0.350,199.5 kHz,2.012E-6
0.250,0.350,251.2 kHz,2.012E-6
0.250,0.350,316.2 kHz,2.012E-6
0.250,0.350,398.1 kHz,2.012E-6
0.250,0.350,501.2 kHz,2.012E-6
0.250,0.350,631.0 kHz,2.012E-6
0.250,0.350,794.3 kHz,2.012E-6
0.250,0.350,1.000 MHz,2.012E-6
0.250,0.350,1.259 MHz,2.012E-6
0.250,0.350,1.585 MHz,2.012E-6
0.250,0.350,1.995 MHz,2.012E-6
0.250,0.350,2.512 MHz,2.012E-6
0.250,0.350,3.162 MHz,2.012E-6
0.250,0.350,3.981 MHz,2.012E-6
0.250,0.350,5.012 MHz,2.012E-6
0.250,0.350,6.310 MHz,2.012E-6
0.250,0.350,7.943 MHz,2.012E-6
0.250,0.350,10.00 MHz,2.012E-6
0.250,0.350,12.59 MHz,2.012E-6
0.250,0.350,15.85 MHz,2.012E-6
0.250,0.350,19.95 MHz,2.012E-6
0.250,0.350,25.12 MHz,2.012E-6
0.250,0.350,31.62 MHz,2.012E-6
0.250,0.350,39.81 MHz,2.012E-6
0.250,0.350,50.12 MHz,2.012E-6
0.250,0.350,63.10 MHz,2.012E-6
0.250,0.350,79.43 MHz,2.012E-6
0.250,0.350,100.0 MHz,2.012E-6
0.250,0.350,125.9 MHz,2.012E-6
0.250,0.350,158.5 MHz,2.012E-6
0.250,0.350,199.5 MHz,2.012E-6
0.250,0.350,251.2 MHz,2.013E-6
0.250,0.350,316.2 MHz,2.013E-6
0.250,0.350,398.1 MHz,2.013E-6
0.250,0.350,501.2 MHz,2.013E-6
0.250,0.350,631.0 MHz,2.013E-6
0.250,0.350,794.3 MHz,2.013E-6
0.250,0.350,1.000 GHz,2.013E-6
0.250,0.350,1.259 GHz,2.013E-6
0.250,0.350,1.585 GHz,2.013E-6
0.250,0.350,1.995 GHz,2.013E-6
0.250,0.350,2.512 GHz,2.014E-6
0.250,0.350,3.162 GHz,2.014E-6
0.250,0.350,3.981 GHz,2.015E-6
0.250,0.350,5.012 GHz,2.017E-6
0.250,0.350,6.310 GHz,2.019E-6
0.250,0.350,7.943 GHz,2.023E-6
0.250,0.350,10.00 GHz,2.030E-6
0.250,0.400,100.0 kHz,4.773E-6
0.250,0.400,125.9 kHz,4.773E-6
0.250,0.400,158.5 kHz,4.773E-6
0.250,0.400,199.5 kHz,4.773E-6
0.250,0.400,251.2 kHz,4.773E-6
0.250,0.400,316.2 kHz,4.773E-6
0.250,0.400,398.1 kHz,4.773E-6
0.250,0.400,501.2 kHz,4.773E-6
0.250,0.400,631.0 kHz,4.773E-6
0.250,0.400,794.3 kHz,4.773E-6
0.250,0.400,1.000 MHz,4.773E-6
0.250,0.400,1.259 MHz,4.773E-6
0.250,0.400,1.585 MHz,4.773E-6
0.250,0.400,1.995 MHz,4.773E-6
0.250,0.400,2.512 MHz,4.773E-6
0.250,0.400,3.162 MHz,4.773E-6
0.250,0.400,3.981 MHz,4.773E-6
0.250,0.400,5.012 MHz,4.773E-6
0.250,0.400,6.310 MHz,4.773E-6
0.250,0.400,7.943 MHz,4.773E-6
0.250,0.400,10.00 MHz,4.773E-6
0.250,0.400,12.59 MHz,4.773E-6
0.250,0.400,15.85 MHz,4.773E-6
0.250,0.400,19.95 MHz,4.773E-6
0.250,0.400,25.12 MHz,4.773E-6
0.250,0.400,31.62 MHz,4.773E-6
0.250,0.400,39.81 MHz,4.773E-6
0.250,0.400,50.12 MHz,4.773E-6
0.250,0.400,63.10 MHz,4.773E-6
0.250,0.400,79.43 MHz,4.773E-6
0.250,0.400,100.0 MHz,4.773E-6
0.250,0.400,125.9 MHz,4.773E-6
0.250,0.400,158.5 MHz,4.773E-6
0.250,0.400,199.5 MHz,4.773E-6
0.250,0.400,251.2 MHz,4.773E-6
0.250,0.400,316.2 MHz,4.773E-6
0.250,0.400,398.1 MHz,4.773E-6
0.250,0.400,501.2 MHz,4.773E-6
0.250,0.400,631.0 MHz,4.773E-6
0.250,0.400,794.3 MHz,4.773E-6
0.250,0.400,1.000 GHz,4.773E-6
0.250,0.400,1.259 GHz,4.773E-6
0.250,0.400,1.585 GHz,4.773E-6
0.250,0.400,1.995 GHz,4.773E-6
0.250,0.400,2.512 GHz,4.773E-6
0.250,0.400,3.162 GHz,4.773E-6
0.250,0.400,3.981 GHz,4.774E-6
0.250,0.400,5.012 GHz,4.775E-6
0.250,0.400,6.310 GHz,4.776E-6
0.250,0.400,7.943 GHz,4.778E-6
0.250,0.400,10.00 GHz,4.781E-6
0.250,0.450,100.0 kHz,9.370E-6
0.250,0.450,125.9 kHz,9.370E-6
0.250,0.450,158.5 kHz,9.370E-6
0.250,0.450,199.5 kHz,9.370E-6
0.250,0.450,251.2 kHz,9.370E-6
0.250,0.450,316.2 kHz,9.370E-6
0.250,0.450,398.1 kHz,9.370E-6
0.250,0.450,501.2 kHz,9.370E-6
0.250,0.450,631.0 kHz,9.370E-6
0.250,0.450,794.3 kHz,9.370E-6
0.250,0.450,1.000 MHz,9.370E-6
0.250,0.450,1.259 MHz,9.370E-6
0.250,0.450,1.585 MHz,9.370E-6
0.250,0.450,1.995 MHz,9.370E-6
0.250,0.450,2.512 MHz,9.370E-6
0.250,0.450,3.162 MHz,9.370E-6
0.250,0.450,3.981 MHz,9.370E-6
0.250,0.450,5.012 MHz,9.370E-6
0.250,0.450,6.310 MHz,9.370E-6
0.250,0.450,7.943 MHz,9.370E-6
0.250,0.450,10.00 MHz,9.370E-6
0.250,0.450,12.59 MHz,9.370E-6
0.250,0.450,15.85 MHz,9.370E-6
0.250,0.450,19.95 MHz,9.370E-6
0.250,0.450,25.12 MHz,9.370E-6
0.250,0.450,31.62 MHz,9.370E-6
0.250,0.450,39.81 MHz,9.370E-6
0.250,0.450,50.12 MHz,9.370E-6
0.250,0.450,63.10 MHz,9.370E-6
0.250,0.450,79.43 MHz,9.370E-6
0.250,0.450,100.0 MHz,9.370E-6
0.250,0.450,125.9 MHz,9.370E-6
0.250,0.450,158.5 MHz,9.370E-6
0.250,0.450,199.5 MHz,9.370E-6
0.250,0.450,251.2 MHz,9.370E-6
0.250,0.450,316.2 MHz,9.370E-6
0.250,0.450,398.1 MHz,9.370E-6
0.250,0.450,501.2 MHz,9.370E-6
0.250,0.450,631.0 MHz,9.370E-6
0.250,0.450,794.3 MHz,9.370E-6
0.250,0.450,1.000 GHz,9.370E-6
0.250,0.450,1.259 GHz,9.370E-6
0.250,0.450,1.585 GHz,9.370E-6
0.250,0.450,1.995 GHz,9.370E-6
0.250,0.450,2.512 GHz,9.370E-6
0.250,0.450,3.162 GHz,9.370E-6
0.250,0.450,3.981 GHz,9.370E-6
0.250,0.450,5.012 GHz,9.371E-6
0.250,0.450,6.310 GHz,9.371E-6
0.250,0.450,7.943 GHz,9.372E-6
0.250,0.450,10.00 GHz,9.374E-6
0.250,0.500,100.0 kHz,1.468E-5
0.250,0.500,125.9 kHz,1.468E-5
0.250,0.500,158.5 kHz,1.468E-5
0.250,0.500,199.5 kHz,1.468E-5
0.250,0.500,251.2 kHz,1.468E-5
0.250,0.500,316.2 kHz,1.468E-5
0.250,0.500,398.1 kHz,1.468E-5
0.250,0.500,501.2 kHz,1.468E-5
0.250,0.500,631.0 kHz,1.468E-5
0.250,0.500,794.3 kHz,1.468E-5
0.250,0.500,1.000 MHz,1.468E-5
0.250,0.500,1.259 MHz,1.468E-5
0.250,0.500,1.585 MHz,1.468E-5
0.250,0.500,1.995 MHz,1.468E-5
0.250,0.500,2.512 MHz,1.468E-5
0.250,0.500,3.162 MHz,1.468E-5
0.250,0.500,3.981 MHz,1.468E-5
0.250,0.500,5.012 MHz,1.468E-5
0.250,0.500,6.310 MHz,1.468E-5
0.250,0.500,7.943 MHz,1.468E-5
0.250,0.500,10.00 MHz,1.468E-5
0.250,0.500,12.59 MHz,1.468E-5
0.250,0.500,15.85 MHz,1.468E-5
0.250,0.500,19.95 MHz,1.468E-5
0.250,0.500,25.12 MHz,1.468E-5
0.250,0.500,31.62 MHz,1.468E-5
0.250,0.500,39.81 MHz,1.468E-5
0.250,0.500,50.12 MHz,1.468E-5
0.250,0.500,63.10 MHz,1.468E-5
0.250,0.500,79.43 MHz,1.468E-5
0.250,0.500,100.0 MHz,1.468E-5
0.250,0.500,125.9 MHz,1.468E-5
0.250,0.500,158.5 MHz,1.468E-5
0.250,0.500,199.5 MHz,1.468E-5
0.250,0.500,251.2 MHz,1.468E-5
0.250,0.500,316.2 MHz,1.468E-5
0.250,0.500,398.1 MHz,1.468E-5
0.250,0.500,501.2 MHz,1.468E-5
0.250,0.500,631.0 MHz,1.468E-5
0.250,0.500,794.3 MHz,1.468E-5
0.250,0.500,1.000 GHz,1.468E-5
0.250,0.500,1.259 GHz,1.468E-5
0.250,0.500,1.585 GHz,1.468E-5
0.250,0.500,1.995 GHz,1.468E-5
0.250,0.500,2.512 GHz,1.468E-5
0.250,0.500,3.162 GHz,1.468E-5
0.250,0.500,3.981 GHz,1.468E-5
0.250,0.500,5.012 GHz,1.468E-5
0.250,0.500,6.310 GHz,1.468E-5
0.250,0.500,7.943 GHz,1.469E-5
0.250,0.500,10.00 GHz,1.469E-5
0.250,0.550,100.0 kHz,1.887E-5
0.250,0.550,125.9 kHz,1.887E-5
0.250,0.550,158.5 kHz,1.887E-5
0.250,0.550,199.5 kHz,1.887E-5
0.250,0.550,251.2 kHz,1.887E-5
0.250,0.550,316.2 kHz,1.887E-5
0.250,0.550,398.1 kHz,1.887E-5
0.250,0.550,501.2 kHz,1.887E-5
0.250,0.550,631.0 kHz,1.887E-5
0.250,0.550,794.3 kHz,1.887E-5
0.250,0.550,1.000 MHz,1.887E-5
0.250,0.550,1.259 MHz,1.887E-5
0.250,0.550,1.585 MHz,1.887E-5
