vd_dc, vg_dc, freq, i_ds (ac)
0.000,0.100,6.310 MHz,1.649E-10
0.000,0.100,7.943 MHz,2.076E-10
0.000,0.100,10.00 MHz,2.614E-10
0.000,0.100,12.59 MHz,3.290E-10
0.000,0.100,15.85 MHz,4.142E-10
0.000,0.100,19.95 MHz,5.215E-10
0.000,0.100,25.12 MHz,6.565E-10
0.000,0.100,31.62 MHz,8.265E-10
0.000,0.100,39.81 MHz,1.041E-9
0.000,0.100,50.12 MHz,1.310E-9
0.000,0.100,63.10 MHz,1.649E-9
0.000,0.100,79.43 MHz,2.076E-9
0.000,0.100,100.0 MHz,2.614E-9
0.000,0.100,125.9 MHz,3.290E-9
0.000,0.100,158.5 MHz,4.142E-9
0.000,0.100,199.5 MHz,5.215E-9
0.000,0.100,251.2 MHz,6.565E-9
0.000,0.100,316.2 MHz,8.265E-9
0.000,0.100,398.1 MHz,1.041E-8
0.000,0.100,501.2 MHz,1.310E-8
0.000,0.100,631.0 MHz,1.649E-8
0.000,0.100,794.3 MHz,2.076E-8
0.000,0.100,1.000 GHz,2.614E-8
0.000,0.100,1.259 GHz,3.290E-8
0.000,0.100,1.585 GHz,4.142E-8
0.000,0.100,1.995 GHz,5.215E-8
0.000,0.100,2.512 GHz,6.565E-8
0.000,0.100,3.162 GHz,8.265E-8
0.000,0.100,3.981 GHz,1.041E-7
0.000,0.100,5.012 GHz,1.310E-7
0.000,0.100,6.310 GHz,1.649E-7
0.000,0.100,7.943 GHz,2.076E-7
0.000,0.100,10.00 GHz,2.614E-7
0.000,0.150,100.0 kHz,2.697E-12
0.000,0.150,125.9 kHz,3.395E-12
0.000,0.150,158.5 kHz,4.274E-12
0.000,0.150,199.5 kHz,5.381E-12
0.000,0.150,251.2 kHz,6.774E-12
0.000,0.150,316.2 kHz,8.528E-12
0.000,0.150,398.1 kHz,1.074E-11
0.000,0.150,501.2 kHz,1.352E-11
0.000,0.150,631.0 kHz,1.701E-11
0.000,0.150,794.3 kHz,2.142E-11
0.000,0.150,1.000 MHz,2.697E-11
0.000,0.150,1.259 MHz,3.395E-11
0.000,0.150,1.585 MHz,4.274E-11
0.000,0.150,1.995 MHz,5.381E-11
0.000,0.150,2.512 MHz,6.774E-11
0.000,0.150,3.162 MHz,8.528E-11
0.000,0.150,3.981 MHz,1.074E-10
0.000,0.150,5.012 MHz,1.352E-10
0.000,0.150,6.310 MHz,1.701E-10
0.000,0.150,7.943 MHz,2.142E-10
0.000,0.150,10.00 MHz,2.697E-10
0.000,0.150,12.59 MHz,3.395E-10
0.000,0.150,15.85 MHz,4.274E-10
0.000,0.150,19.95 MHz,5.381E-10
0.000,0.150,25.12 MHz,6.774E-10
0.000,0.150,31.62 MHz,8.528E-10
0.000,0.150,39.81 MHz,1.074E-9
0.000,0.150,50.12 MHz,1.352E-9
0.000,0.150,63.10 MHz,1.701E-9
0.000,0.150,79.43 MHz,2.142E-9
0.000,0.150,100.0 MHz,2.697E-9
0.000,0.150,125.9 MHz,3.395E-9
0.000,0.150,158.5 MHz,4.274E-9
0.000,0.150,199.5 MHz,5.381E-9
0.000,0.150,251.2 MHz,6.774E-9
0.000,0.150,316.2 MHz,8.528E-9
0.000,0.150,398.1 MHz,1.074E-8
0.000,0.150,501.2 MHz,1.352E-8
0.000,0.150,631.0 MHz,1.701E-8
0.000,0.150,794.3 MHz,2.142E-8
0.000,0.150,1.000 GHz,2.697E-8
0.000,0.150,1.259 GHz,3.395E-8
0.000,0.150,1.585 GHz,4.274E-8
0.000,0.150,1.995 GHz,5.381E-8
0.000,0.150,2.512 GHz,6.774E-8
0.000,0.150,3.162 GHz,8.528E-8
0.000,0.150,3.981 GHz,1.074E-7
0.000,0.150,5.012 GHz,1.352E-7
0.000,0.150,6.310 GHz,1.701E-7
0.000,0.150,7.943 GHz,2.142E-7
0.000,0.150,10.00 GHz,2.697E-7
0.000,0.200,100.0 kHz,2.763E-12
0.000,0.200,125.9 kHz,3.477E-12
0.000,0.200,158.5 kHz,4.377E-12
0.000,0.200,199.5 kHz,5.510E-12
0.000,0.200,251.2 kHz,6.936E-12
0.000,0.200,316.2 kHz,8.731E-12
0.000,0.200,398.1 kHz,1.099E-11
0.000,0.200,501.2 kHz,1.384E-11
0.000,0.200,631.0 kHz,1.742E-11
0.000,0.200,794.3 kHz,2.193E-11
0.000,0.200,1.000 MHz,2.761E-11
0.000,0.200,1.259 MHz,3.476E-11
0.000,0.200,1.585 MHz,4.376E-11
0.000,0.200,1.995 MHz,5.509E-11
0.000,0.200,2.512 MHz,6.935E-11
0.000,0.200,3.162 MHz,8.731E-11
0.000,0.200,3.981 MHz,1.099E-10
0.000,0.200,5.012 MHz,1.384E-10
0.000,0.200,6.310 MHz,1.742E-10
0.000,0.200,7.943 MHz,2.193E-10
0.000,0.200,10.00 MHz,2.761E-10
0.000,0.200,12.59 MHz,3.476E-10
0.000,0.200,15.85 MHz,4.376E-10
0.000,0.200,19.95 MHz,5.509E-10
0.000,0.200,25.12 MHz,6.935E-10
0.000,0.200,31.62 MHz,8.731E-10
0.000,0.200,39.81 MHz,1.099E-9
0.000,0.200,50.12 MHz,1.384E-9
0.000,0.200,63.10 MHz,1.742E-9
0.000,0.200,79.43 MHz,2.193E-9
0.000,0.200,100.0 MHz,2.761E-9
0.000,0.200,125.9 MHz,3.476E-9
0.000,0.200,158.5 MHz,4.376E-9
0.000,0.200,199.5 MHz,5.509E-9
0.000,0.200,251.2 MHz,6.935E-9
0.000,0.200,316.2 MHz,8.731E-9
0.000,0.200,398.1 MHz,1.099E-8
0.000,0.200,501.2 MHz,1.384E-8
0.000,0.200,631.0 MHz,1.742E-8
0.000,0.200,794.3 MHz,2.193E-8
0.000,0.200,1.000 GHz,2.761E-8
0.000,0.200,1.259 GHz,3.476E-8
0.000,0.200,1.585 GHz,4.376E-8
0.000,0.200,1.995 GHz,5.509E-8
0.000,0.200,2.512 GHz,6.935E-8
0.000,0.200,3.162 GHz,8.731E-8
0.000,0.200,3.981 GHz,1.099E-7
0.000,0.200,5.012 GHz,1.384E-7
0.000,0.200,6.310 GHz,1.742E-7
0.000,0.200,7.943 GHz,2.193E-7
0.000,0.200,10.00 GHz,2.761E-7
0.000,0.250,100.0 kHz,2.815E-12
0.000,0.250,125.9 kHz,3.541E-12
0.000,0.250,158.5 kHz,4.456E-12
0.000,0.250,199.5 kHz,5.609E-12
0.000,0.250,251.2 kHz,7.060E-12
0.000,0.250,316.2 kHz,8.887E-12
0.000,0.250,398.1 kHz,1.119E-11
0.000,0.250,501.2 kHz,1.408E-11
0.000,0.250,631.0 kHz,1.773E-11
0.000,0.250,794.3 kHz,2.232E-11
0.000,0.250,1.000 MHz,2.810E-11
0.000,0.250,1.259 MHz,3.537E-11
0.000,0.250,1.585 MHz,4.453E-11
0.000,0.250,1.995 MHz,5.606E-11
0.000,0.250,2.512 MHz,7.058E-11
0.000,0.250,3.162 MHz,8.885E-11
0.000,0.250,3.981 MHz,1.119E-10
0.000,0.250,5.012 MHz,1.408E-10
0.000,0.250,6.310 MHz,1.773E-10
0.000,0.250,7.943 MHz,2.232E-10
0.000,0.250,10.00 MHz,2.810E-10
0.000,0.250,12.59 MHz,3.537E-10
0.000,0.250,15.85 MHz,4.453E-10
0.000,0.250,19.95 MHz,5.606E-10
0.000,0.250,25.12 MHz,7.058E-10
0.000,0.250,31.62 MHz,8.885E-10
0.000,0.250,39.81 MHz,1.119E-9
0.000,0.250,50.12 MHz,1.408E-9
0.000,0.250,63.10 MHz,1.773E-9
0.000,0.250,79.43 MHz,2.232E-9
0.000,0.250,100.0 MHz,2.810E-9
0.000,0.250,125.9 MHz,3.537E-9
0.000,0.250,158.5 MHz,4.453E-9
0.000,0.250,199.5 MHz,5.606E-9
0.000,0.250,251.2 MHz,7.058E-9
0.000,0.250,316.2 MHz,8.885E-9
0.000,0.250,398.1 MHz,1.119E-8
0.000,0.250,501.2 MHz,1.408E-8
0.000,0.250,631.0 MHz,1.773E-8
0.000,0.250,794.3 MHz,2.232E-8
0.000,0.250,1.000 GHz,2.810E-8
0.000,0.250,1.259 GHz,3.537E-8
0.000,0.250,1.585 GHz,4.453E-8
0.000,0.250,1.995 GHz,5.606E-8
0.000,0.250,2.512 GHz,7.058E-8
0.000,0.250,3.162 GHz,8.885E-8
0.000,0.250,3.981 GHz,1.119E-7
0.000,0.250,5.012 GHz,1.408E-7
0.000,0.250,6.310 GHz,1.773E-7
0.000,0.250,7.943 GHz,2.232E-7
0.000,0.250,10.00 GHz,2.810E-7
0.000,0.300,100.0 kHz,2.860E-12
0.000,0.300,125.9 kHz,3.595E-12
0.000,0.300,158.5 kHz,4.522E-12
0.000,0.300,199.5 kHz,5.689E-12
0.000,0.300,251.2 kHz,7.160E-12
0.000,0.300,316.2 kHz,9.011E-12
0.000,0.300,398.1 kHz,1.134E-11
0.000,0.300,501.2 kHz,1.428E-11
0.000,0.300,631.0 kHz,1.797E-11
0.000,0.300,794.3 kHz,2.263E-11
0.000,0.300,1.000 MHz,2.849E-11
0.000,0.300,1.259 MHz,3.586E-11
0.000,0.300,1.585 MHz,4.514E-11
0.000,0.300,1.995 MHz,5.683E-11
0.000,0.300,2.512 MHz,7.155E-11
0.000,0.300,3.162 MHz,9.007E-11
0.000,0.300,3.981 MHz,1.134E-10
0.000,0.300,5.012 MHz,1.428E-10
0.000,0.300,6.310 MHz,1.797E-10
0.000,0.300,7.943 MHz,2.263E-10
0.000,0.300,10.00 MHz,2.848E-10
0.000,0.300,12.59 MHz,3.586E-10
0.000,0.300,15.85 MHz,4.514E-10
0.000,0.300,19.95 MHz,5.683E-10
0.000,0.300,25.12 MHz,7.155E-10
0.000,0.300,31.62 MHz,9.007E-10
0.000,0.300,39.81 MHz,1.134E-9
0.000,0.300,50.12 MHz,1.428E-9
0.000,0.300,63.10 MHz,1.797E-9
0.000,0.300,79.43 MHz,2.263E-9
0.000,0.300,100.0 MHz,2.848E-9
0.000,0.300,125.9 MHz,3.586E-9
0.000,0.300,158.5 MHz,4.514E-9
0.000,0.300,199.5 MHz,5.683E-9
0.000,0.300,251.2 MHz,7.155E-9
0.000,0.300,316.2 MHz,9.007E-9
0.000,0.300,398.1 MHz,1.134E-8
0.000,0.300,501.2 MHz,1.428E-8
0.000,0.300,631.0 MHz,1.797E-8
0.000,0.300,794.3 MHz,2.263E-8
0.000,0.300,1.000 GHz,2.848E-8
0.000,0.300,1.259 GHz,3.586E-8
0.000,0.300,1.585 GHz,4.514E-8
0.000,0.300,1.995 GHz,5.683E-8
0.000,0.300,2.512 GHz,7.155E-8
0.000,0.300,3.162 GHz,9.007E-8
0.000,0.300,3.981 GHz,1.134E-7
0.000,0.300,5.012 GHz,1.428E-7
0.000,0.300,6.310 GHz,1.797E-7
0.000,0.300,7.943 GHz,2.263E-7
0.000,0.300,10.00 GHz,2.848E-7
0.000,0.350,100.0 kHz,2.910E-12
0.000,0.350,125.9 kHz,3.651E-12
0.000,0.350,158.5 kHz,4.587E-12
0.000,0.350,199.5 kHz,5.768E-12
0.000,0.350,251.2 kHz,7.255E-12
0.000,0.350,316.2 kHz,9.129E-12
0.000,0.350,398.1 kHz,1.149E-11
0.000,0.350,501.2 kHz,1.446E-11
0.000,0.350,631.0 kHz,1.820E-11
0.000,0.350,794.3 kHz,2.291E-11
0.000,0.350,1.000 MHz,2.885E-11
0.000,0.350,1.259 MHz,3.631E-11
0.000,0.350,1.585 MHz,4.571E-11
0.000,0.350,1.995 MHz,5.755E-11
0.000,0.350,2.512 MHz,7.245E-11
