deg (on tline), magnitude of voltage, 
347.000,0.523
348.000,0.504
349.000,0.484
350.000,0.466
351.000,0.449
352.000,0.432
353.000,0.417
354.000,0.403
355.000,0.391
356.000,0.381
357.000,0.373
358.000,0.367
359.000,0.363
360.000,0.362
