freq, nonideal i, ideal i
52.1000000000000014211 MHz,0.00000067029231859471 + j0.00163742750223851217 ,0.00000000000000000000 + j0.00163676977252028228 
53.1000000000000014211 MHz,0.00000069629194065999 + j0.00166888204430914880 ,0.00000000000000000000 + j0.00166818569905618011 
54.1000000000000014211 MHz,0.00000072278751834988 + j0.00170033806961372518 ,0.00000000000000000000 + j0.00169960162559207794 
55.1000000000000014211 MHz,0.00000074977914592528 + j0.00173179560616498860 ,0.00000000000000000000 + j0.00173101755212797599 
56.1000000000000014211 MHz,0.00000077726691941721 + j0.00176325468198016756 ,0.00000000000000000000 + j0.00176243347866387383 
57.1000000000000014211 MHz,0.00000080525093662746 + j0.00179471532508105225 ,0.00000000000000000000 + j0.00179384940519977166 
58.1000000000000014211 MHz,0.00000083373129712926 + j0.00182617756349407498 ,0.00000000000000000000 + j0.00182526533173566949 
59.1000000000000014211 MHz,0.00000086270810226790 + j0.00185764142525039842 ,0.00000000000000000000 + j0.00185668125827156776 
60.1000000000000014211 MHz,0.00000089218145516146 + j0.00188910693838599433 ,0.00000000000000000000 + j0.00188809718480746559 
61.1000000000000014211 MHz,0.00000092215146070148 + j0.00192057413094173118 ,0.00000000000000000000 + j0.00191951311134336343 
62.1000000000000014211 MHz,0.00000095261822555362 + j0.00195204303096345412 ,0.00000000000000000000 + j0.00195092903787926148 
63.1000000000000014211 MHz,0.00000098358185815844 + j0.00198351366650207066 ,0.00000000000000000000 + j0.00198234496441515931 
64.0999999999999943157 MHz,0.00000101504246873208 + j0.00201498606561363374 ,0.00000000000000000000 + j0.00201376089095105714 
65.0999999999999943157 MHz,0.00000104700016926701 + j0.00204646025635942409 ,0.00000000000000000000 + j0.00204517681748695498 
66.0999999999999943157 MHz,0.00000107945507353277 + j0.00207793626680603588 ,0.00000000000000000000 + j0.00207659274402285324 
67.0999999999999943157 MHz,0.00000111240729707673 + j0.00210941412502545743 ,0.00000000000000000000 + j0.00210800867055875108 
68.0999999999999943157 MHz,0.00000114585695722488 + j0.00214089385909515704 ,0.00000000000000000000 + j0.00213942459709464891 
69.0999999999999943157 MHz,0.00000117980417308260 + j0.00217237549709816714 ,0.00000000000000000000 + j0.00217084052363054674 
70.0999999999999943157 MHz,0.00000121424906553545 + j0.00220385906712316712 ,0.00000000000000000000 + j0.00220225645016644501 
71.0999999999999943157 MHz,0.00000124919175724998 + j0.00223534459726456311 ,0.00000000000000000000 + j0.00223367237670234284 
72.0999999999999943157 MHz,0.00000128463237267457 + j0.00226683211562258213 ,0.00000000000000000000 + j0.00226508830323824068 
73.0999999999999943157 MHz,0.00000132057103804024 + j0.00229832165030334360 ,0.00000000000000000000 + j0.00229650422977413851 
74.0999999999999943157 MHz,0.00000135700788136149 + j0.00232981322941895044 ,0.00000000000000000000 + j0.00232792015631003678 
