freq, nonideal i, ideal i
446.100000000000022737 MHz,0.00005212823746600824 + j0.01443988339672075231 ,0.00000000000000000000 + j0.01401464482766406720 
447.100000000000022737 MHz,0.00005237647397563614 + j0.01447422373074004967 ,0.00000000000000000000 + j0.01404606075419996374 
448.100000000000022737 MHz,0.00005262540013475024 + j0.01450857784575254605 ,0.00000000000000000000 + j0.01407747668073586200 
449.100000000000022737 MHz,0.00005287501692342706 + j0.01454294577884045897 ,0.00000000000000000000 + j0.01410889260727176027 
450.100000000000022737 MHz,0.00005312532532491115 + j0.01457732756713156150 ,0.00000000000000000000 + j0.01414030853380765854 
451.100000000000022737 MHz,0.00005337632632562273 + j0.01461172324779931413 ,0.00000000000000000000 + j0.01417172446034355507 
452.100000000000022737 MHz,0.00005362802091516525 + j0.01464613285806303303 ,0.00000000000000000000 + j0.01420314038687945334 
453.100000000000022737 MHz,0.00005388041008633283 + j0.01468055643518801842 ,0.00000000000000000000 + j0.01423455631341535160 
454.100000000000022737 MHz,0.00005413349483511814 + j0.01471499401648568295 ,0.00000000000000000000 + j0.01426597223995124987 
455.100000000000022737 MHz,0.00005438727616071988 + j0.01474944563931374943 ,0.00000000000000000000 + j0.01429738816648714640 
456.100000000000022737 MHz,0.00005464175506555056 + j0.01478391134107633759 ,0.00000000000000000000 + j0.01432880409302304640 
457.100000000000022737 MHz,0.00005489693255524409 + j0.01481839115922414969 ,0.00000000000000000000 + j0.01436022001955894467 
458.100000000000022737 MHz,0.00005515280963866369 + j0.01485288513125459023 ,0.00000000000000000000 + j0.01439163594609484120 
459.100000000000022737 MHz,0.00005540938732790958 + j0.01488739329471194632 ,0.00000000000000000000 + j0.01442305187263073774 
460.100000000000022737 MHz,0.00005566666663832686 + j0.01492191568718751263 ,0.00000000000000000000 + j0.01445446779916663774 
461.100000000000022737 MHz,0.00005592464858851320 + j0.01495645234631973186 ,0.00000000000000000000 + j0.01448588372570253600 
462.100000000000022737 MHz,0.00005618333420032680 + j0.01499100330979435784 ,0.00000000000000000000 + j0.01451729965223843254 
463.100000000000022737 MHz,0.00005644272449889442 + j0.01502556861534460816 ,0.00000000000000000000 + j0.01454871557877433254 
464.100000000000022737 MHz,0.00005670282051261894 + j0.01506014830075128041 ,0.00000000000000000000 + j0.01458013150531022907 
465.100000000000022737 MHz,0.00005696362327318780 + j0.01509474240384296208 ,0.00000000000000000000 + j0.01461154743184612734 
466.100000000000022737 MHz,0.00005722513381558053 + j0.01512935096249610513 ,0.00000000000000000000 + j0.01464296335838202387 
467.100000000000022737 MHz,0.00005748735317807714 + j0.01516397401463524981 ,0.00000000000000000000 + j0.01467437928491792387 
468.100000000000022737 MHz,0.00005775028240226589 + j0.01519861159823310964 ,0.00000000000000000000 + j0.01470579521145382040 
469.100000000000022737 MHz,0.00005801392253305151 + j0.01523326375131075876 ,0.00000000000000000000 + j0.01473721113798971867 
470.100000000000022737 MHz,0.00005827827461866329 + j0.01526793051193777936 ,0.00000000000000000000 + j0.01476862706452561694 
471.100000000000022737 MHz,0.00005854333971066331 + j0.01530261191823241440 ,0.00000000000000000000 + j0.01480004299106151520 
472.100000000000022737 MHz,0.00005880911886395436 + j0.01533730800836169764 ,0.00000000000000000000 + j0.01483145891759741174 
473.100000000000022737 MHz,0.00005907561313678840 + j0.01537201882054163235 ,0.00000000000000000000 + j0.01486287484413331000 
474.100000000000022737 MHz,0.00005934282359077471 + j0.01540674439303732837 ,0.00000000000000000000 + j0.01489429077066920827 
475.100000000000022737 MHz,0.00005961075129088806 + j0.01544148476416315474 ,0.00000000000000000000 + j0.01492570669720510654 
476.100000000000022737 MHz,0.00005987939730547717 + j0.01547623997228290103 ,0.00000000000000000000 + j0.01495712262374100307 
477.100000000000022737 MHz,0.00006014876270627298 + j0.01551101005580993349 ,0.00000000000000000000 + j0.01498853855027690307 
478.100000000000022737 MHz,0.00006041884856839692 + j0.01554579505320732684 ,0.00000000000000000000 + j0.01501995447681279960 
479.100000000000022737 MHz,0.00006068965597036939 + j0.01558059500298803780 ,0.00000000000000000000 + j0.01505137040334869787 
480.100000000000022737 MHz,0.00006096118599411823 + j0.01561540994371505946 ,0.00000000000000000000 + j0.01508278632988459440 
481.100000000000022737 MHz,0.00006123343972498711 + j0.01565023991400157216 ,0.00000000000000000000 + j0.01511420225642049441 
482.100000000000022737 MHz,0.00006150641825174395 + j0.01568508495251108234 ,0.00000000000000000000 + j0.01514561818295639267 
483.100000000000022737 MHz,0.00006178012266658958 + j0.01571994509795761330 ,0.00000000000000000000 + j0.01517703410949228920 
484.100000000000022737 MHz,0.00006205455406516626 + j0.01575482038910583360 ,0.00000000000000000000 + j0.01520845003602818921 
485.100000000000022737 MHz,0.00006232971354656615 + j0.01578971086477120450 ,0.00000000000000000000 + j0.01523986596256408574 
486.100000000000022737 MHz,0.00006260560221334014 + j0.01582461656382018120 ,0.00000000000000000000 + j0.01527128188909998401 
487.100000000000022737 MHz,0.00006288222117150624 + j0.01585953752517032037 ,0.00000000000000000000 + j0.01530269781563588054 
488.100000000000022737 MHz,0.00006315957153055855 + j0.01589447378779046752 ,0.00000000000000000000 + j0.01533411374217178054 
489.100000000000022737 MHz,0.00006343765440347574 + j0.01592942539070090618 ,0.00000000000000000000 + j0.01536552966870767707 
490.100000000000022737 MHz,0.00006371647090672991 + j0.01596439237297351404 ,0.00000000000000000000 + j0.01539694559524357534 
491.100000000000022737 MHz,0.00006399602216029534 + j0.01599937477373191211 ,0.00000000000000000000 + j0.01542836152177947187 
492.100000000000022737 MHz,0.00006427630928765742 + j0.01603437263215165554 ,0.00000000000000000000 + j0.01545977744831537187 
493.100000000000022737 MHz,0.00006455733341582125 + j0.01606938598746035507 ,0.00000000000000000000 + j0.01549119337485126841 
494.100000000000022737 MHz,0.00006483909567532081 + j0.01610441487893786439 ,0.00000000000000000000 + j0.01552260930138716667 
495.100000000000022737 MHz,0.00006512159720022765 + j0.01613945934591641540 ,0.00000000000000000000 + j0.01555402522792306494 
496.100000000000022737 MHz,0.00006540483912816006 + j0.01617451942778080909 ,0.00000000000000000000 + j0.01558544115445896321 
497.100000000000022737 MHz,0.00006568882260029178 + j0.01620959516396854733 ,0.00000000000000000000 + j0.01561685708099485974 
498.100000000000022737 MHz,0.00006597354876136133 + j0.01624468659397001677 ,0.00000000000000000000 + j0.01564827300753075801 
499.100000000000022737 MHz,0.00006625901875968082 + j0.01627979375732863110 ,0.00000000000000000000 + j0.01567968893406665801 
500.100000000000022737 MHz,0.00006654523374714507 + j0.01631491669364100103 ,0.00000000000000000000 + j0.01571110486060255454 
501.100000000000022737 MHz,0.00006683219487924089 + j0.01635005544255710430 ,0.00000000000000000000 + j0.01574252078713845107 
502.100000000000022737 MHz,0.00006711990331505617 + j0.01638521004378044529 ,0.00000000000000000000 + j0.01577393671367435107 
503.100000000000022737 MHz,0.00006740836021728882 + j0.01642038053706819725 ,0.00000000000000000000 + j0.01580535264021024761 
504.100000000000022737 MHz,0.00006769756675225647 + j0.01645556696223140353 ,0.00000000000000000000 + j0.01583676856674614414 
505.100000000000022737 MHz,0.00006798752408990533 + j0.01649076935913511288 ,0.00000000000000000000 + j0.01586818449328204414 
506.100000000000022737 MHz,0.00006827823340381967 + j0.01652598776769854255 ,0.00000000000000000000 + j0.01589960041981794414 
507.100000000000022737 MHz,0.00006856969587123107 + j0.01656122222789527254 ,0.00000000000000000000 + j0.01593101634635384067 
508.100000000000022737 MHz,0.00006886191267302791 + j0.01659647277975337051 ,0.00000000000000000000 + j0.01596243227288973721 
509.100000000000022737 MHz,0.00006915488499376460 + j0.01663173946335559650 ,0.00000000000000000000 + j0.01599384819942563721 
510.100000000000022737 MHz,0.00006944861402167118 + j0.01666702231883953819 ,0.00000000000000000000 + j0.01602526412596153374 
511.100000000000022737 MHz,0.00006974310094866273 + j0.01670232138639778791 ,0.00000000000000000000 + j0.01605668005249743027 
512.100000000000022737 MHz,0.00007003834697034870 + j0.01673763670627811603 ,0.00000000000000000000 + j0.01608809597903332680 
513.100000000000022737 MHz,0.00007033435328604301 + j0.01677296831878364800 ,0.00000000000000000000 + j0.01611951190556922681 
514.100000000000022737 MHz,0.00007063112109877281 + j0.01680831626427297873 ,0.00000000000000000000 + j0.01615092783210512681 
515.100000000000022737 MHz,0.00007092865161528875 + j0.01684368058316041208 ,0.00000000000000000000 + j0.01618234375864102334 
516.100000000000022737 MHz,0.00007122694604607446 + j0.01687906131591608572 ,0.00000000000000000000 + j0.01621375968517692334 
517.100000000000022737 MHz,0.00007152600560535611 + j0.01691445850306614457 ,0.00000000000000000000 + j0.01624517561171281987 
518.100000000000022737 MHz,0.00007182583151111225 + j0.01694987218519292474 ,0.00000000000000000000 + j0.01627659153824871641 
519.100000000000022737 MHz,0.00007212642498508358 + j0.01698530240293510962 ,0.00000000000000000000 + j0.01630800746478461294 
520.100000000000022737 MHz,0.00007242778725278277 + j0.01702074919698791725 ,0.00000000000000000000 + j0.01633942339132051294 
521.100000000000022737 MHz,0.00007272991954350405 + j0.01705621260810322171 ,0.00000000000000000000 + j0.01637083931785640947 
522.100000000000022737 MHz,0.00007303282309033352 + j0.01709169267708981338 ,0.00000000000000000000 + j0.01640225524439230947 
523.100000000000022737 MHz,0.00007333649913015870 + j0.01712718944481347177 ,0.00000000000000000000 + j0.01643367117092820948 
524.100000000000022737 MHz,0.00007364094890367862 + j0.01716270295219721534 ,0.00000000000000000000 + j0.01646508709746410601 
525.100000000000022737 MHz,0.00007394617365541372 + j0.01719823324022141248 ,0.00000000000000000000 + j0.01649650302400000254 
526.100000000000022737 MHz,0.00007425217463371616 + j0.01723378034992400706 ,0.00000000000000000000 + j0.01652791895053589907 
527.100000000000022737 MHz,0.00007455895309077954 + j0.01726934432240066764 ,0.00000000000000000000 + j0.01655933487707179907 
528.100000000000022737 MHz,0.00007486651028264909 + j0.01730492519880494698 ,0.00000000000000000000 + j0.01659075080360769561 
529.100000000000022737 MHz,0.00007517484746923186 + j0.01734052302034847642 ,0.00000000000000000000 + j0.01662216673014359214 
530.100000000000022737 MHz,0.00007548396591430699 + j0.01737613782830113585 ,0.00000000000000000000 + j0.01665358265667949214 
531.100000000000022737 MHz,0.00007579386688553575 + j0.01741176966399123754 ,0.00000000000000000000 + j0.01668499858321539214 
532.100000000000022737 MHz,0.00007610455165447179 + j0.01744741856880566155 ,0.00000000000000000000 + j0.01671641450975128868 
533.100000000000022737 MHz,0.00007641602149657166 + j0.01748308458419009156 ,0.00000000000000000000 + j0.01674783043628718521 
534.100000000000022737 MHz,0.00007672827769120493 + j0.01751876775164915023 ,0.00000000000000000000 + j0.01677924636282308521 
535.100000000000022737 MHz,0.00007704132152166455 + j0.01755446811274657959 ,0.00000000000000000000 + j0.01681066228935898174 
536.100000000000022737 MHz,0.00007735515427517741 + j0.01759018570910542145 ,0.00000000000000000000 + j0.01684207821589487827 
537.100000000000022737 MHz,0.00007766977724291475 + j0.01762592058240822906 ,0.00000000000000000000 + j0.01687349414243077828 
538.100000000000022737 MHz,0.00007798519172000246 + j0.01766167277439717118 ,0.00000000000000000000 + j0.01690491006896667481 
539.100000000000022737 MHz,0.00007830139900553190 + j0.01769744232687428184 ,0.00000000000000000000 + j0.01693632599550257481 
540.100000000000022737 MHz,0.00007861840040257027 + j0.01773322928170160614 ,0.00000000000000000000 + j0.01696774192203847134 
541.100000000000022737 MHz,0.00007893619721817126 + j0.01776903368080138060 ,0.00000000000000000000 + j0.01699915784857437134 
542.100000000000022737 MHz,0.00007925479076338564 + j0.01780485556615620316 ,0.00000000000000000000 + j0.01703057377511026788 
543.100000000000022737 MHz,0.00007957418235327218 + j0.01784069497980926566 ,0.00000000000000000000 + j0.01706198970164616441 
544.100000000000022737 MHz,0.00007989437330690808 + j0.01787655196386445794 ,0.00000000000000000000 + j0.01709340562818206441 
545.100000000000022737 MHz,0.00008021536494739991 + j0.01791242656048660717 ,0.00000000000000000000 + j0.01712482155471796094 
546.100000000000022737 MHz,0.00008053715860189437 + j0.01794831881190162709 ,0.00000000000000000000 + j0.01715623748125385747 
547.100000000000022737 MHz,0.00008085975560158932 + j0.01798422876039674004 ,0.00000000000000000000 + j0.01718765340778975748 
548.100000000000022737 MHz,0.00008118315728174413 + j0.01802015644832059144 ,0.00000000000000000000 + j0.01721906933432565748 
549.100000000000022737 MHz,0.00008150736498169130 + j0.01805610191808350654 ,0.00000000000000000000 + j0.01725048526086155401 
550.100000000000022737 MHz,0.00008183238004484699 + j0.01809206521215762226 ,0.00000000000000000000 + j0.01728190118739745054 
551.100000000000022737 MHz,0.00008215820381872223 + j0.01812804637307710923 ,0.00000000000000000000 + j0.01731331711393335054 
552.100000000000022737 MHz,0.00008248483765493372 + j0.01816404544343830710 ,0.00000000000000000000 + j0.01734473304046924708 
553.100000000000022737 MHz,0.00008281228290921540 + j0.01820006246589997434 ,0.00000000000000000000 + j0.01737614896700514361 
554.100000000000022737 MHz,0.00008314054094142909 + j0.01823609748318340967 ,0.00000000000000000000 + j0.01740756489354104014 
555.100000000000022737 MHz,0.00008346961311557598 + j0.01827215053807269493 ,0.00000000000000000000 + j0.01743898082007694014 
556.100000000000022737 MHz,0.00008379950079980773 + j0.01830822167341483037 ,0.00000000000000000000 + j0.01747039674661284014 
557.100000000000022737 MHz,0.00008413020536643765 + j0.01834431093211995323 ,0.00000000000000000000 + j0.01750181267314873668 
558.100000000000022737 MHz,0.00008446172819195232 + j0.01838041835716151470 ,0.00000000000000000000 + j0.01753322859968463321 
559.100000000000022737 MHz,0.00008479407065702271 + j0.01841654399157649502 ,0.00000000000000000000 + j0.01756464452622053321 
560.100000000000022737 MHz,0.00008512723414651541 + j0.01845268787846551795 ,0.00000000000000000000 + j0.01759606045275642974 
561.100000000000022737 MHz,0.00008546122004950448 + j0.01848885006099312833 ,0.00000000000000000000 + j0.01762747637929232628 
562.100000000000022737 MHz,0.00008579602975928270 + j0.01852503058238793784 ,0.00000000000000000000 + j0.01765889230582822628 
563.100000000000022737 MHz,0.00008613166467337289 + j0.01856122948594279495 ,0.00000000000000000000 + j0.01769030823236412281 
564.100000000000022737 MHz,0.00008646812619354005 + j0.01859744681501503127 ,0.00000000000000000000 + j0.01772172415890002281 
565.100000000000022737 MHz,0.00008680541572580219 + j0.01863368261302658993 ,0.00000000000000000000 + j0.01775314008543591934 
566.100000000000022737 MHz,0.00008714353468044277 + j0.01866993692346426842 ,0.00000000000000000000 + j0.01778455601197181934 
567.100000000000022737 MHz,0.00008748248447202187 + j0.01870620978987988861 ,0.00000000000000000000 + j0.01781597193850771588 
568.100000000000022737 MHz,0.00008782226651938812 + j0.01874250125589047369 ,0.00000000000000000000 + j0.01784738786504361241 
569.100000000000022737 MHz,0.00008816288224569046 + j0.01877881136517846675 ,0.00000000000000000000 + j0.01787880379157951241 
570.100000000000022737 MHz,0.00008850433307839004 + j0.01881514016149192850 ,0.00000000000000000000 + j0.01791021971811540894 
571.100000000000022737 MHz,0.00008884662044927190 + j0.01885148768864468999 ,0.00000000000000000000 + j0.01794163564465130548 
572.100000000000022737 MHz,0.00008918974579445717 + j0.01888785399051659888 ,0.00000000000000000000 + j0.01797305157118720548 
573.100000000000022737 MHz,0.00008953371055441488 + j0.01892423911105368256 ,0.00000000000000000000 + j0.01800446749772310548 
574.100000000000022737 MHz,0.00008987851617397373 + j0.01896064309426833197 ,0.00000000000000000000 + j0.01803588342425900201 
575.100000000000022737 MHz,0.00009022416410233478 + j0.01899706598423954451 ,0.00000000000000000000 + j0.01806729935079489854 
576.100000000000022737 MHz,0.00009057065579308288 + j0.01903350782511308362 ,0.00000000000000000000 + j0.01809871527733079855 
577.100000000000022737 MHz,0.00009091799270419930 + j0.01906996866110167305 ,0.00000000000000000000 + j0.01813013120386669508 
578.100000000000022737 MHz,0.00009126617629807351 + j0.01910644853648521546 ,0.00000000000000000000 + j0.01816154713040259161 
579.100000000000022737 MHz,0.00009161520804151583 + j0.01914294749561098324 ,0.00000000000000000000 + j0.01819296305693848814 
580.100000000000022737 MHz,0.00009196508940576945 + j0.01917946558289381626 ,0.00000000000000000000 + j0.01822437898347438814 
581.100000000000022737 MHz,0.00009231582186652285 + j0.01921600284281630919 ,0.00000000000000000000 + j0.01825579491001028815 
582.100000000000022737 MHz,0.00009266740690392201 + j0.01925255931992901973 ,0.00000000000000000000 + j0.01828721083654618468 
583.100000000000022737 MHz,0.00009301984600258339 + j0.01928913505885070101 ,0.00000000000000000000 + j0.01831862676308208468 
584.100000000000022737 MHz,0.00009337314065160550 + j0.01932573010426842305 ,0.00000000000000000000 + j0.01835004268961798121 
585.100000000000022737 MHz,0.00009372729234458221 + j0.01936234450093786072 ,0.00000000000000000000 + j0.01838145861615387774 
586.100000000000022737 MHz,0.00009408230257961503 + j0.01939897829368344637 ,0.00000000000000000000 + j0.01841287454268977428 
587.100000000000022737 MHz,0.00009443817285932570 + j0.01943563152739858149 ,0.00000000000000000000 + j0.01844429046922567428 
588.100000000000022737 MHz,0.00009479490469086876 + j0.01947230424704584836 ,0.00000000000000000000 + j0.01847570639576157081 
589.100000000000022737 MHz,0.00009515249958594444 + j0.01950899649765718696 ,0.00000000000000000000 + j0.01850712232229747081 
590.100000000000022737 MHz,0.00009551095906081145 + j0.01954570832433414479 ,0.00000000000000000000 + j0.01853853824883337081 
591.100000000000022737 MHz,0.00009587028463629948 + j0.01958243977224803298 ,0.00000000000000000000 + j0.01856995417536926735 
592.100000000000022737 MHz,0.00009623047783782242 + j0.01961919088664017263 ,0.00000000000000000000 + j0.01860137010190516388 
593.100000000000022737 MHz,0.00009659154019539106 + j0.01965596171282206830 ,0.00000000000000000000 + j0.01863278602844106041 
594.100000000000022737 MHz,0.00009695347324362614 + j0.01969275229617563003 ,0.00000000000000000000 + j0.01866420195497696041 
595.100000000000022737 MHz,0.00009731627852177106 + j0.01972956268215337108 ,0.00000000000000000000 + j0.01869561788151285694 
596.100000000000022737 MHz,0.00009767995757370551 + j0.01976639291627864392 ,0.00000000000000000000 + j0.01872703380804875348 
597.100000000000022737 MHz,0.00009804451194795801 + j0.01980324304414579975 ,0.00000000000000000000 + j0.01875844973458465348 
598.100000000000022737 MHz,0.00009840994319771935 + j0.01984011311142044182 ,0.00000000000000000000 + j0.01878986566112055348 
599.100000000000022737 MHz,0.00009877625288085556 + j0.01987700316383958846 ,0.00000000000000000000 + j0.01882128158765645001 
600.100000000000022737 MHz,0.00009914344255992147 + j0.01991391324721194026 ,0.00000000000000000000 + j0.01885269751419234655 
601.100000000000022737 MHz,0.00009951151380217389 + j0.01995084340741805004 ,0.00000000000000000000 + j0.01888411344072824655 
602.100000000000022737 MHz,0.00009988046817958469 + j0.01998779369041052759 ,0.00000000000000000000 + j0.01891552936726414308 
603.100000000000022737 MHz,0.00010025030726885471 + j0.02002476414221429635 ,0.00000000000000000000 + j0.01894694529380003961 
604.100000000000022737 MHz,0.00010062103265142682 + j0.02006175480892673918 ,0.00000000000000000000 + j0.01897836122033593961 
605.100000000000022737 MHz,0.00010099264591349927 + j0.02009876573671797589 ,0.00000000000000000000 + j0.01900977714687183615 
606.100000000000022737 MHz,0.00010136514864603998 + j0.02013579697183103326 ,0.00000000000000000000 + j0.01904119307340773615 
607.100000000000022737 MHz,0.00010173854244479922 + j0.02017284856058207052 ,0.00000000000000000000 + j0.01907260899994363268 
608.100000000000022737 MHz,0.00010211282891032402 + j0.02020992054936060489 ,0.00000000000000000000 + j0.01910402492647953268 
609.100000000000022737 MHz,0.00010248800964797140 + j0.02024701298462970589 ,0.00000000000000000000 + j0.01913544085301542921 
610.100000000000022737 MHz,0.00010286408626792234 + j0.02028412591292623815 ,0.00000000000000000000 + j0.01916685677955132575 
611.100000000000022737 MHz,0.00010324106038519567 + j0.02032125938086104880 ,0.00000000000000000000 + j0.01919827270608722575 
612.100000000000022737 MHz,0.00010361893361966156 + j0.02035841343511919296 ,0.00000000000000000000 + j0.01922968863262312228 
613.100000000000022737 MHz,0.00010399770759605587 + j0.02039558812246016969 ,0.00000000000000000000 + j0.01926110455915901881 
614.100000000000022737 MHz,0.00010437738394399390 + j0.02043278348971809891 ,0.00000000000000000000 + j0.01929252048569491881 
615.100000000000022737 MHz,0.00010475796429798448 + j0.02046999958380199894 ,0.00000000000000000000 + j0.01932393641223081882 
616.100000000000022737 MHz,0.00010513945029744387 + j0.02050723645169593573 ,0.00000000000000000000 + j0.01935535233876671535 
617.100000000000022737 MHz,0.00010552184358671011 + j0.02054449414045930386 ,0.00000000000000000000 + j0.01938676826530261188 
618.100000000000022737 MHz,0.00010590514581505740 + j0.02058177269722701389 ,0.00000000000000000000 + j0.01941818419183851188 
619.100000000000022737 MHz,0.00010628935863670949 + j0.02061907216920971439 ,0.00000000000000000000 + j0.01944960011837440841 
620.100000000000022737 MHz,0.00010667448371085504 + j0.02065639260369402444 ,0.00000000000000000000 + j0.01948101604491030495 
621.100000000000022737 MHz,0.00010706052270166126 + j0.02069373404804275215 ,0.00000000000000000000 + j0.01951243197144620148 
622.100000000000022737 MHz,0.00010744747727828852 + j0.02073109654969511328 ,0.00000000000000000000 + j0.01954384789798210148 
623.100000000000022737 MHz,0.00010783534911490486 + j0.02076848015616695672 ,0.00000000000000000000 + j0.01957526382451800148 
624.100000000000022737 MHz,0.00010822413989070029 + j0.02080588491505098656 ,0.00000000000000000000 + j0.01960667975105389801 
625.100000000000022737 MHz,0.00010861385128990155 + j0.02084331087401697369 ,0.00000000000000000000 + j0.01963809567758979455 
626.100000000000022737 MHz,0.00010900448500178702 + j0.02088075808081204382 ,0.00000000000000000000 + j0.01966951160412569455 
627.100000000000022737 MHz,0.00010939604272070040 + j0.02091822658326079540 ,0.00000000000000000000 + j0.01970092753066159108 
628.100000000000022737 MHz,0.00010978852614606666 + j0.02095571642926562228 ,0.00000000000000000000 + j0.01973234345719748761 
629.100000000000022737 MHz,0.00011018193698240601 + j0.02099322766680690455 ,0.00000000000000000000 + j0.01976375938373338761 
630.100000000000022737 MHz,0.00011057627693934893 + j0.02103076034394320282 ,0.00000000000000000000 + j0.01979517531026928415 
631.100000000000022737 MHz,0.00011097154773165141 + j0.02106831450881156004 ,0.00000000000000000000 + j0.01982659123680518415 
632.100000000000022737 MHz,0.00011136775107920924 + j0.02110589020962765766 ,0.00000000000000000000 + j0.01985800716334108068 
633.100000000000022737 MHz,0.00011176488870707382 + j0.02114348749468609664 ,0.00000000000000000000 + j0.01988942308987698068 
634.100000000000022737 MHz,0.00011216296234546650 + j0.02118110641236061603 ,0.00000000000000000000 + j0.01992083901641287721 
635.100000000000022737 MHz,0.00011256197372979410 + j0.02121874701110426989 ,0.00000000000000000000 + j0.01995225494294877375 
636.100000000000022737 MHz,0.00011296192460066418 + j0.02125640933944976385 ,0.00000000000000000000 + j0.01998367086948467375 
637.100000000000022737 MHz,0.00011336281670389989 + j0.02129409344600959389 ,0.00000000000000000000 + j0.02001508679602057028 
638.100000000000022737 MHz,0.00011376465179055567 + j0.02133179937947631000 ,0.00000000000000000000 + j0.02004650272255646681 
639.100000000000022737 MHz,0.00011416743161693250 + j0.02136952718862277639 ,0.00000000000000000000 + j0.02007791864909236682 
640.100000000000022737 MHz,0.00011457115794459298 + j0.02140727692230236234 ,0.00000000000000000000 + j0.02010933457562826682 
641.100000000000022737 MHz,0.00011497583254037733 + j0.02144504862944919543 ,0.00000000000000000000 + j0.02014075050216416335 
642.100000000000022737 MHz,0.00011538145717641860 + j0.02148284235907842524 ,0.00000000000000000000 + j0.02017216642870005988 
643.100000000000022737 MHz,0.00011578803363015844 + j0.02152065816028640721 ,0.00000000000000000000 + j0.02020358235523595988 
644.100000000000022737 MHz,0.00011619556368436258 + j0.02155849608225096636 ,0.00000000000000000000 + j0.02023499828177185642 
645.100000000000022737 MHz,0.00011660404912713648 + j0.02159635617423163664 ,0.00000000000000000000 + j0.02026641420830775295 
646.100000000000022737 MHz,0.00011701349175194153 + j0.02163423848556991075 ,0.00000000000000000000 + j0.02029783013484364948 
647.100000000000022737 MHz,0.00011742389335761056 + j0.02167214306568944482 ,0.00000000000000000000 + j0.02032924606137954948 
648.100000000000022737 MHz,0.00011783525574836365 + j0.02171006996409632211 ,0.00000000000000000000 + j0.02036066198791544948 
649.100000000000022737 MHz,0.00011824758073382413 + j0.02174801923037928200 ,0.00000000000000000000 + j0.02039207791445134602 
650.100000000000022737 MHz,0.00011866087012903497 + j0.02178599091420998363 ,0.00000000000000000000 + j0.02042349384098724602 
651.100000000000022737 MHz,0.00011907512575447432 + j0.02182398506534321408 ,0.00000000000000000000 + j0.02045490976752314255 
652.100000000000022737 MHz,0.00011949034943607207 + j0.02186200173361716945 ,0.00000000000000000000 + j0.02048632569405903908 
653.100000000000022737 MHz,0.00011990654300522576 + j0.02190004096895363170 ,0.00000000000000000000 + j0.02051774162059493561 
654.100000000000022737 MHz,0.00012032370829881711 + j0.02193810282135831569 ,0.00000000000000000000 + j0.02054915754713083562 
655.100000000000022737 MHz,0.00012074184715922794 + j0.02197618734092099749 ,0.00000000000000000000 + j0.02058057347366673215 
656.100000000000022737 MHz,0.00012116096143435709 + j0.02201429457781585788 ,0.00000000000000000000 + j0.02061198940020263215 
657.100000000000022737 MHz,0.00012158105297763640 + j0.02205242458230165584 ,0.00000000000000000000 + j0.02064340532673852868 
658.100000000000022737 MHz,0.00012200212364804753 + j0.02209057740472203032 ,0.00000000000000000000 + j0.02067482125327442868 
659.100000000000022737 MHz,0.00012242417531013839 + j0.02212875309550569811 ,0.00000000000000000000 + j0.02070623717981032522 
660.100000000000022737 MHz,0.00012284720983403978 + j0.02216695170516675209 ,0.00000000000000000000 + j0.02073765310634622175 
661.100000000000022737 MHz,0.00012327122909548224 + j0.02220517328430485909 ,0.00000000000000000000 + j0.02076906903288212175 
662.100000000000022737 MHz,0.00012369623497581256 + j0.02224341788360554434 ,0.00000000000000000000 + j0.02080048495941801828 
663.100000000000022737 MHz,0.00012412222936201080 + j0.02228168555384043084 ,0.00000000000000000000 + j0.02083190088595391481 
664.100000000000022737 MHz,0.00012454921414670729 + j0.02231997634586749615 ,0.00000000000000000000 + j0.02086331681248981482 
665.100000000000022737 MHz,0.00012497719122819923 + j0.02235829031063130135 ,0.00000000000000000000 + j0.02089473273902571482 
666.100000000000022737 MHz,0.00012540616251046805 + j0.02239662749916327550 ,0.00000000000000000000 + j0.02092614866556161135 
667.100000000000022737 MHz,0.00012583612990319637 + j0.02243498796258193775 ,0.00000000000000000000 + j0.02095756459209750788 
668.100000000000022737 MHz,0.00012626709532178524 + j0.02247337175209318874 ,0.00000000000000000000 + j0.02098898051863340788 
669.100000000000022737 MHz,0.00012669906068737109 + j0.02251177891899050487 ,0.00000000000000000000 + j0.02102039644516930442 
670.100000000000022737 MHz,0.00012713202792684344 + j0.02255020951465527140 ,0.00000000000000000000 + j0.02105181237170520095 
671.100000000000022737 MHz,0.00012756599897286198 + j0.02258866359055696632 ,0.00000000000000000000 + j0.02108322829824110095 
672.100000000000022737 MHz,0.00012800097576387394 + j0.02262714119825346218 ,0.00000000000000000000 + j0.02111464422477699748 
673.100000000000022737 MHz,0.00012843696024413188 + j0.02266564238939127590 ,0.00000000000000000000 + j0.02114606015131289748 
674.100000000000022737 MHz,0.00012887395436371094 + j0.02270416721570580817 ,0.00000000000000000000 + j0.02117747607784879402 
675.100000000000022737 MHz,0.00012931196007852662 + j0.02274271572902161059 ,0.00000000000000000000 + j0.02120889200438469402 
676.100000000000022737 MHz,0.00012975097935035240 + j0.02278128798125266669 ,0.00000000000000000000 + j0.02124030793092059055 
677.100000000000022737 MHz,0.00013019101414683755 + j0.02281988402440261049 ,0.00000000000000000000 + j0.02127172385745648708 
678.100000000000022737 MHz,0.00013063206644152507 + j0.02285850391056504574 ,0.00000000000000000000 + j0.02130313978399238709 
