"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -2.25541477114E-002, +0.00000000000E+000
+1.50621875000E+006, -3.47556951685E-003, +0.00000000000E+000
+2.91243750000E+006, -1.16326033521E-002, +0.00000000000E+000
+4.31865625000E+006, -3.68579970059E-002, +0.00000000000E+000
+5.72487500000E+006, -4.32084804904E-002, +0.00000000000E+000
+7.13109375000E+006, -2.94038865865E-002, +0.00000000000E+000
+8.53731250000E+006, -3.45783883095E-002, +0.00000000000E+000
+9.94353125000E+006, -3.44861062914E-002, +0.00000000000E+000
+1.13497500000E+007, -4.30227649568E-002, +0.00000000000E+000
+1.27559687500E+007, -4.98638795606E-002, +0.00000000000E+000
+1.41621875000E+007, -5.40923579812E-002, +0.00000000000E+000
+1.55684062500E+007, -5.88263288435E-002, +0.00000000000E+000
+1.69746250000E+007, -6.36602399237E-002, +0.00000000000E+000
+1.83808437500E+007, -6.34580682878E-002, +0.00000000000E+000
+1.97870625000E+007, -6.70460164370E-002, +0.00000000000E+000
+2.11932812500E+007, -6.95343801213E-002, +0.00000000000E+000
+2.25995000000E+007, -6.81806452451E-002, +0.00000000000E+000
+2.40057187500E+007, -6.78050739315E-002, +0.00000000000E+000
+2.54119375000E+007, -6.88162917939E-002, +0.00000000000E+000
+2.68181562500E+007, -6.94961312700E-002, +0.00000000000E+000
+2.82243750000E+007, -7.16507049436E-002, +0.00000000000E+000
+2.96305937500E+007, -7.38943426900E-002, +0.00000000000E+000
+3.10368125000E+007, -7.47898923166E-002, +0.00000000000E+000
+3.24430312500E+007, -7.79180510927E-002, +0.00000000000E+000
+3.38492500000E+007, -8.41394163034E-002, +0.00000000000E+000
+3.52554687500E+007, -8.05942386446E-002, +0.00000000000E+000
+3.66616875000E+007, -8.30120972375E-002, +0.00000000000E+000
+3.80679062500E+007, -8.26555170440E-002, +0.00000000000E+000
+3.94741250000E+007, -8.13806856725E-002, +0.00000000000E+000
+4.08803437500E+007, -8.40992800562E-002, +0.00000000000E+000
+4.22865625000E+007, -8.46545840058E-002, +0.00000000000E+000
+4.36927812500E+007, -8.56764806096E-002, +0.00000000000E+000
+4.50990000000E+007, -8.83230428835E-002, +0.00000000000E+000
+4.65052187500E+007, -8.67154338345E-002, +0.00000000000E+000
+4.79114375000E+007, -9.28254314671E-002, +0.00000000000E+000
+4.93176562500E+007, -9.45223825272E-002, +0.00000000000E+000
+5.07238750000E+007, -9.50627113127E-002, +0.00000000000E+000
+5.21300937500E+007, -9.39762966873E-002, +0.00000000000E+000
+5.35363125000E+007, -9.44135564424E-002, +0.00000000000E+000
+5.49425312500E+007, -9.41809298558E-002, +0.00000000000E+000
+5.63487500000E+007, -9.62570443221E-002, +0.00000000000E+000
+5.77549687500E+007, -9.49479772954E-002, +0.00000000000E+000
+5.91611875000E+007, -9.68985421726E-002, +0.00000000000E+000
+6.05674062500E+007, -9.82023910808E-002, +0.00000000000E+000
+6.19736250000E+007, -1.00712458994E-001, +0.00000000000E+000
+6.33798437500E+007, -1.01282893989E-001, +0.00000000000E+000
+6.47860625000E+007, -1.02973322737E-001, +0.00000000000E+000
+6.61922812500E+007, -1.09017112319E-001, +0.00000000000E+000
+6.75985000000E+007, -1.10061971162E-001, +0.00000000000E+000
+6.90047187500E+007, -1.11562912630E-001, +0.00000000000E+000
+7.04109375000E+007, -1.10606018042E-001, +0.00000000000E+000
+7.18171562500E+007, -1.10899051102E-001, +0.00000000000E+000
+7.32233750000E+007, -1.12728525639E-001, +0.00000000000E+000
+7.46295937500E+007, -1.13867000483E-001, +0.00000000000E+000
+7.60358125000E+007, -1.15361689863E-001, +0.00000000000E+000
+7.74420312500E+007, -1.15091173488E-001, +0.00000000000E+000
+7.88482500000E+007, -1.16645900996E-001, +0.00000000000E+000
+8.02544687500E+007, -1.17466022050E-001, +0.00000000000E+000
+8.16606875000E+007, -1.18247097958E-001, +0.00000000000E+000
+8.30669062500E+007, -1.19808757788E-001, +0.00000000000E+000
+8.44731250000E+007, -1.21497616839E-001, +0.00000000000E+000
+8.58793437500E+007, -1.22323171307E-001, +0.00000000000E+000
+8.72855625000E+007, -1.24013713195E-001, +0.00000000000E+000
+8.86917812500E+007, -1.24043845705E-001, +0.00000000000E+000
+9.00980000000E+007, -1.27600186850E-001, +0.00000000000E+000
+9.15042187500E+007, -1.29355124202E-001, +0.00000000000E+000
+9.29104375000E+007, -1.30989107341E-001, +0.00000000000E+000
+9.43166562500E+007, -1.32725720189E-001, +0.00000000000E+000
+9.57228750000E+007, -1.33515123152E-001, +0.00000000000E+000
+9.71290937500E+007, -1.35026145155E-001, +0.00000000000E+000
+9.85353125000E+007, -1.35372689522E-001, +0.00000000000E+000
+9.99415312500E+007, -1.35367944016E-001, +0.00000000000E+000
+1.01347750000E+008, -1.36276807022E-001, +0.00000000000E+000
+1.02753968750E+008, -1.37867965663E-001, +0.00000000000E+000
+1.04160187500E+008, -1.36512437474E-001, +0.00000000000E+000
+1.05566406250E+008, -1.37658444914E-001, +0.00000000000E+000
+1.06972625000E+008, -1.39096762711E-001, +0.00000000000E+000
+1.08378843750E+008, -1.41193062305E-001, +0.00000000000E+000
+1.09785062500E+008, -1.42001705439E-001, +0.00000000000E+000
+1.11191281250E+008, -1.41230897728E-001, +0.00000000000E+000
+1.12597500000E+008, -1.42558827110E-001, +0.00000000000E+000
+1.14003718750E+008, -1.43756911521E-001, +0.00000000000E+000
+1.15409937500E+008, -1.44018716224E-001, +0.00000000000E+000
