"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.50733137830E+008, +6.63327780447E-005, +2.20727504327E-003
+5.53372434018E+008, +6.78202618757E-005, +2.21451671935E-003
+5.56011730205E+008, +6.81994332108E-005, +2.22756355603E-003
+5.58651026393E+008, +7.01038477759E-005, +2.24033494968E-003
+5.61290322581E+008, +6.76204191917E-005, +2.25070885974E-003
+5.63929618768E+008, +6.52572842661E-005, +2.26281498098E-003
+5.66568914956E+008, +6.91715094669E-005, +2.27573673986E-003
+5.69208211144E+008, +6.74905090982E-005, +2.28330935030E-003
+5.71847507331E+008, +6.80849865827E-005, +2.29500337518E-003
+5.74486803519E+008, +6.85252085110E-005, +2.30732865666E-003
+5.77126099707E+008, +6.77211764401E-005, +2.32031651129E-003
+5.79765395894E+008, +6.46007066664E-005, +2.33388954747E-003
+5.82404692082E+008, +6.56587124223E-005, +2.34103250530E-003
+5.85043988270E+008, +6.67792222062E-005, +2.35370740600E-003
+5.87683284457E+008, +6.28424914280E-005, +2.36211699146E-003
+5.90322580645E+008, +6.62188821084E-005, +2.37472513136E-003
+5.92961876833E+008, +6.43177409773E-005, +2.38509814597E-003
+5.95601173021E+008, +5.92810617773E-005, +2.39478087829E-003
+5.98240469208E+008, +6.22622665385E-005, +2.41039970398E-003
+6.00879765396E+008, +6.23525016481E-005, +2.42103864988E-003
+6.03519061584E+008, +5.75910613263E-005, +2.42908298856E-003
+6.06158357771E+008, +5.69870548961E-005, +2.43991615015E-003
+6.08797653959E+008, +6.12595023976E-005, +2.45104698970E-003
+6.11436950147E+008, +5.47661338538E-005, +2.45919111927E-003
+6.14076246334E+008, +5.86483351860E-005, +2.46818801714E-003
+6.16715542522E+008, +5.40195311027E-005, +2.47822931535E-003
+6.19354838710E+008, +5.15152674817E-005, +2.48744665688E-003
+6.21994134897E+008, +5.31181152767E-005, +2.49565718823E-003
+6.24633431085E+008, +4.82581838847E-005, +2.50803400062E-003
+6.27272727273E+008, +5.13072645053E-005, +2.51509684436E-003
+6.29912023460E+008, +5.08004250383E-005, +2.52491021759E-003
+6.32551319648E+008, +4.59408282651E-005, +2.53219927328E-003
+6.35190615836E+008, +5.15909240163E-005, +2.54434156844E-003
+6.37829912023E+008, +4.69203579229E-005, +2.55532839824E-003
+6.40469208211E+008, +5.16199965155E-005, +2.56778217289E-003
+6.43108504399E+008, +4.71174465965E-005, +2.57292527814E-003
+6.45747800587E+008, +4.70017327765E-005, +2.58085671445E-003
+6.48387096774E+008, +4.68671981641E-005, +2.59298560187E-003
+6.51026392962E+008, +5.21867552882E-005, +2.59960301421E-003
+6.53665689150E+008, +5.36400565728E-005, +2.60840475150E-003
+6.56304985337E+008, +5.13563397562E-005, +2.61739581264E-003
+6.58944281525E+008, +5.00362317886E-005, +2.62811785744E-003
+6.61583577713E+008, +5.31487919461E-005, +2.64258387042E-003
+6.64222873900E+008, +5.13410196628E-005, +2.65263315090E-003
+6.66862170088E+008, +5.26536864848E-005, +2.66093517081E-003
+6.69501466276E+008, +5.12536053722E-005, +2.67174999899E-003
+6.72140762463E+008, +5.35912108837E-005, +2.68422352080E-003
+6.74780058651E+008, +5.26268546217E-005, +2.69695196617E-003
+6.77419354839E+008, +5.14113844852E-005, +2.70187416589E-003
+6.80058651026E+008, +5.33302282957E-005, +2.71384255308E-003
+6.82697947214E+008, +5.41638021443E-005, +2.72383231510E-003
