freq, current
3.91501000000000010104 GHz,0.00007601413844368553 - j0.00811994972111681167 
3.91600999999999999091 GHz,0.00007597532455262356 - j0.00811787153173174070 
3.91700999999999988077 GHz,0.00007593654038178377 - j0.00811579440189573627 
3.91801000000000021473 GHz,0.00007589778590072757 - j0.00811371833079779781 
3.91901000000000010459 GHz,0.00007585906107845904 - j0.00811164331762773486 
3.92000999999999999446 GHz,0.00007582036588558157 - j0.00810956936157620698 
3.92100999999999988432 GHz,0.00007578170029204678 - j0.00810749646183467343 
3.92201000000000021828 GHz,0.00007574306426610037 - j0.00810542461759544003 
3.92301000000000010814 GHz,0.00007570445777938630 - j0.00810335382805161576 
3.92400999999999999801 GHz,0.00007566588080050973 - j0.00810128409239714575 
3.92500999999999988788 GHz,0.00007562733330033102 - j0.00809921540982679392 
3.92601000000000022183 GHz,0.00007558881524858965 - j0.00809714777953614989 
3.92701000000000011170 GHz,0.00007555032661521891 - j0.00809508120072158915 
3.92801000000000000156 GHz,0.00007551186736987234 - j0.00809301567258035627 
3.92900999999999989143 GHz,0.00007547343748287604 - j0.00809095119431047123 
3.93000999999999978129 GHz,0.00007543503692463067 - j0.00808888776511079710 
3.93101000000000011525 GHz,0.00007539666566551114 - j0.00808682538418099492 
3.93201000000000000512 GHz,0.00007535832367488292 - j0.00808476405072154798 
3.93300999999999989498 GHz,0.00007532001092396146 - j0.00808270376393373929 
3.93400999999999978485 GHz,0.00007528172738211789 - j0.00808064452301968453 
3.93501000000000011880 GHz,0.00007524347302010587 - j0.00807858632718230080 
3.93601000000000000867 GHz,0.00007520524780778037 - j0.00807652917562530319 
3.93700999999999989853 GHz,0.00007516705171660396 - j0.00807447306755323946 
3.93800999999999978840 GHz,0.00007512888471648318 - j0.00807241800217143798 
3.93901000000000012236 GHz,0.00007509074677759915 - j0.00807036397868605287 
3.94001000000000001222 GHz,0.00007505263787104004 - j0.00806831099630403621 
3.94100999999999990209 GHz,0.00007501455796613663 - j0.00806625905423315540 
3.94200999999999979195 GHz,0.00007497650703454195 - j0.00806420815168195845 
3.94301000000000012591 GHz,0.00007493848504695028 - j0.00806215828785982434 
3.94401000000000001577 GHz,0.00007490049197400344 - j0.00806010946197690745 
3.94500999999999990564 GHz,0.00007486252778540204 - j0.00805806167324417226 
3.94600999999999979551 GHz,0.00007482459245268240 - j0.00805601492087340380 
3.94701000000000012946 GHz,0.00007478668594644522 - j0.00805396920407714864 
3.94801000000000001933 GHz,0.00007474880823759860 - j0.00805192452206877213 
3.94900999999999990919 GHz,0.00007471095929738187 - j0.00804988087406243585 
3.95000999999999979906 GHz,0.00007467313909557117 - j0.00804783825927309938 
3.95101000000000013301 GHz,0.00007463534760372962 - j0.00804579667691648903 
3.95201000000000002288 GHz,0.00007459758479282134 - j0.00804375612620917418 
3.95300999999999991275 GHz,0.00007455985063423552 - j0.00804171660636847016 
3.95400999999999980261 GHz,0.00007452214509812168 - j0.00803967811661250933 
3.95501000000000013657 GHz,0.00007448446815597803 - j0.00803764065616020471 
3.95601000000000002643 GHz,0.00007444681977909358 - j0.00803560422423126551 
3.95700999999999991630 GHz,0.00007440919993821603 - j0.00803356882004619549 
3.95800999999999980616 GHz,0.00007437160860470649 - j0.00803153444282625299 
3.95901000000000014012 GHz,0.00007433404574986993 - j0.00802950109179352209 
3.96001000000000002998 GHz,0.00007429651134466557 - j0.00802746876617085360 
3.96100999999999991985 GHz,0.00007425900536060556 - j0.00802543746518187377 
3.96200999999999980972 GHz,0.00007422152776919322 - j0.00802340718805102764 
3.96301000000000014367 GHz,0.00007418407854061954 - j0.00802137793400349401 
3.96401000000000003354 GHz,0.00007414665764831094 - j0.00801934970226527051 
3.96500999999999992340 GHz,0.00007410926506246271 - j0.00801732249206312669 
3.96600999999999981327 GHz,0.00007407190075405333 - j0.00801529630262459887 
3.96701000000000014722 GHz,0.00007403456469544880 - j0.00801327113317800745 
3.96801000000000003709 GHz,0.00007399725685782620 - j0.00801124698295247080 
3.96900999999999992696 GHz,0.00007395997721305641 - j0.00800922385117784803 
3.97000999999999981682 GHz,0.00007392272573211754 - j0.00800720173708480837 
3.97101000000000015078 GHz,0.00007388550238648524 - j0.00800518063990476522 
3.97201000000000004064 GHz,0.00007384830714890351 - j0.00800316055886993345 
3.97300999999999993051 GHz,0.00007381113999132275 - j0.00800114149321327905 
3.97400999999999982037 GHz,0.00007377400088353253 - j0.00799912344216855906 
3.97501000000000015433 GHz,0.00007373688979892814 - j0.00799710640497027642 
3.97601000000000004420 GHz,0.00007369980670939486 - j0.00799509038085371819 
3.97700999999999993406 GHz,0.00007366275158536679 - j0.00799307536905495379 
3.97800999999999982393 GHz,0.00007362572440065837 - j0.00799106136881079336 
3.97901000000000015788 GHz,0.00007358872512455311 - j0.00798904837935882246 
3.98001000000000004775 GHz,0.00007355175373204202 - j0.00798703639993742116 
3.98100999999999993761 GHz,0.00007351481019341304 - j0.00798502542978569985 
3.98200999999999982748 GHz,0.00007347789448071694 - j0.00798301546814353044 
3.98301000000000016144 GHz,0.00007344100656680251 - j0.00798100651425157764 
3.98401000000000005130 GHz,0.00007340414642339743 - j0.00797899856735123821 
3.98500999999999994117 GHz,0.00007336731402150474 - j0.00797699162668468777 
3.98600999999999983103 GHz,0.00007333050933495579 - j0.00797498569149487392 
3.98701000000000016499 GHz,0.00007329373233489071 - j0.00797298076102545376 
3.98801000000000005485 GHz,0.00007325698299426528 - j0.00797097683452090838 
3.98900999999999994472 GHz,0.00007322026128553480 - j0.00796897391122643531 
3.99000999999999983459 GHz,0.00007318356717925603 - j0.00796697199038798320 
3.99101000000000016854 GHz,0.00007314690064970824 - j0.00796497107125229697 
3.99201000000000005841 GHz,0.00007311026166874419 - j0.00796297115306681541 
3.99300999999999994827 GHz,0.00007307365020786980 - j0.00796097223507979262 
3.99400999999999983814 GHz,0.00007303706624081374 - j0.00795897431654018876 
3.99501000000000017209 GHz,0.00007300050973932853 - j0.00795697739669775153 
3.99601000000000006196 GHz,0.00007296398067631144 - j0.00795498147480294855 
3.99700999999999995183 GHz,0.00007292747902340527 - j0.00795298655010700725 
3.99800999999999984169 GHz,0.00007289100475479484 - j0.00795099262186192528 
3.99901000000000017565 GHz,0.00007285455784159257 - j0.00794899968932041845 
4.00000999999999962142 GHz,0.00007281813825716159 - j0.00794700775173595893 
4.00100999999999995538 GHz,0.00007278174597403721 - j0.00794501680836277001 
4.00201000000000028933 GHz,0.00007274538096492058 - j0.00794302685845582092 
4.00300999999999973511 GHz,0.00007270904320275008 - j0.00794103790127081814 
4.00401000000000006906 GHz,0.00007267273266020336 - j0.00793904993606421236 
4.00501000000000040302 GHz,0.00007263644931004105 - j0.00793706296209319845 
4.00600999999999984880 GHz,0.00007260019312519538 - j0.00793507697861571548 
4.00701000000000018275 GHz,0.00007256396407849082 - j0.00793309198489045020 
4.00800999999999962853 GHz,0.00007252776214273947 - j0.00793110798017680578 
4.00900999999999996248 GHz,0.00007249158729136317 - j0.00792912496373493654 
4.01001000000000029644 GHz,0.00007245543949646683 - j0.00792714293482574966 
4.01100999999999974222 GHz,0.00007241931873170617 - j0.00792516189271086011 
4.01201000000000007617 GHz,0.00007238322497067043 - j0.00792318183665264089 
4.01301000000000041013 GHz,0.00007234715818500438 - j0.00792120276591419016 
4.01400999999999985590 GHz,0.00007231111834920547 - j0.00791922467975934331 
4.01501000000000018986 GHz,0.00007227510543612246 - j0.00791724757745266780 
4.01600999999999963563 GHz,0.00007223911941815218 - j0.00791527145825946486 
4.01700999999999996959 GHz,0.00007220316026900361 - j0.00791329632144575565 
4.01801000000000030354 GHz,0.00007216722796271414 - j0.00791132216627832459 
4.01900999999999974932 GHz,0.00007213132247161939 - j0.00790934899202464133 
4.02001000000000008328 GHz,0.00007209544376906427 - j0.00790737679795292837 
4.02101000000000041723 GHz,0.00007205959182872811 - j0.00790540558333214204 
4.02200999999999986301 GHz,0.00007202376662410895 - j0.00790343534743195679 
4.02301000000000019696 GHz,0.00007198796812815073 - j0.00790146608952275661 
4.02400999999999964274 GHz,0.00007195219631445661 - j0.00789949780887567836 
4.02500999999999997669 GHz,0.00007191645115689245 - j0.00789753050476257358 
4.02601000000000031065 GHz,0.00007188073262945020 - j0.00789556417645600507 
4.02700999999999975643 GHz,0.00007184504070378409 - j0.00789359882322927635 
4.02801000000000009038 GHz,0.00007180937535504943 - j0.00789163444435639176 
4.02901000000000042434 GHz,0.00007177373655736078 - j0.00788967103911210506 
4.03000999999999987011 GHz,0.00007173812428271355 - j0.00788770860677184306 
4.03101000000000020407 GHz,0.00007170253850540761 - j0.00788574714661180280 
4.03200999999999964984 GHz,0.00007166697920009857 - j0.00788378665790888042 
4.03300999999999998380 GHz,0.00007163144633947050 - j0.00788182713994066420 
4.03401000000000031775 GHz,0.00007159593989725620 - j0.00787986859198549355 
4.03500999999999976353 GHz,0.00007156045984833709 - j0.00787791101332240874 
4.03601000000000009749 GHz,0.00007152500616521389 - j0.00787595440323115778 
4.03701000000000043144 GHz,0.00007148957882270267 - j0.00787399876099220686 
4.03800999999999987722 GHz,0.00007145417779481949 - j0.00787204408588674381 
4.03901000000000021117 GHz,0.00007141880305488655 - j0.00787009037719665384 
4.04000999999999965695 GHz,0.00007138345457698362 - j0.00786813763420454726 
4.04100999999999999091 GHz,0.00007134813233552097 - j0.00786618585619372306 
4.04201000000000032486 GHz,0.00007131283630340929 - j0.00786423504244821575 
4.04300999999999977064 GHz,0.00007127756645654832 - j0.00786228519225274855 
4.04401000000000010459 GHz,0.00007124232276772172 - j0.00786033630489275589 
4.04501000000000043855 GHz,0.00007120710521154652 - j0.00785838837965438693 
4.04600999999999988432 GHz,0.00007117191376238980 - j0.00785644141582448295 
4.04701000000000021828 GHz,0.00007113674839380460 - j0.00785449541269058957 
4.04800999999999966406 GHz,0.00007110160908024217 - j0.00785255036954099137 
4.04900999999999999801 GHz,0.00007106649579677293 - j0.00785060628566462519 
4.05001000000000033197 GHz,0.00007103140851659911 - j0.00784866316035114781 
4.05100999999999977774 GHz,0.00007099634721434749 - j0.00784672099289093934 
4.05201000000000011170 GHz,0.00007096131186461195 - j0.00784477978257504954 
4.05300999999999955747 GHz,0.00007092630244204847 - j0.00784283952869524979 
4.05400999999999989143 GHz,0.00007089131892033252 - j0.00784090023054398629 
4.05501000000000022538 GHz,0.00007085636127430272 - j0.00783896188741443033 
4.05600999999999967116 GHz,0.00007082142947843240 - j0.00783702449860043324 
4.05701000000000000512 GHz,0.00007078652350799636 - j0.00783508806339655237 
4.05801000000000033907 GHz,0.00007075164333571925 - j0.00783315258109801987 
4.05900999999999978485 GHz,0.00007071678893794525 - j0.00783121805100077222 
4.06001000000000011880 GHz,0.00007068196028850928 - j0.00782928447240147096 
4.06100999999999956458 GHz,0.00007064715736194650 - j0.00782735184459741953 
4.06200999999999989853 GHz,0.00007061238013343823 - j0.00782542016688664126 
4.06301000000000023249 GHz,0.00007057762857732611 - j0.00782348943856784294 
4.06400999999999967827 GHz,0.00007054290266847355 - j0.00782155965894042529 
4.06501000000000001222 GHz,0.00007050820238138347 - j0.00781963082730447075 
4.06601000000000034618 GHz,0.00007047352769196261 - j0.00781770294296077473 
4.06700999999999979195 GHz,0.00007043887857245203 - j0.00781577600521077102 
4.06801000000000012591 GHz,0.00007040425500163687 - j0.00781385001335664110 
4.06900999999999957168 GHz,0.00007036965695059161 - j0.00781192496670118572 
4.07000999999999990564 GHz,0.00007033508439631262 - j0.00781000086454796110 
4.07101000000000023960 GHz,0.00007030053731302976 - j0.00780807770620113497 
4.07200999999999968537 GHz,0.00007026601567660142 - j0.00780615549096563138 
4.07301000000000001933 GHz,0.00007023151946063431 - j0.00780423421814699109 
4.07401000000000035328 GHz,0.00007019704864168350 - j0.00780231388705149125 
4.07500999999999979906 GHz,0.00007016260319404072 - j0.00780039449698604476 
4.07601000000000013301 GHz,0.00007012818309223907 - j0.00779847604725827839 
4.07700999999999957879 GHz,0.00007009378831247432 - j0.00779655853717646681 
4.07800999999999991275 GHz,0.00007005941882948954 - j0.00779464196604959508 
4.07901000000000024670 GHz,0.00007002507461903283 - j0.00779272633318730396 
4.08000999999999969248 GHz,0.00006999075565491966 - j0.00779081163789991163 
4.08101000000000002643 GHz,0.00006995646191372857 - j0.00778889787949843190 
4.08201000000000036039 GHz,0.00006992219337070385 - j0.00778698505729451870 
4.08300999999999980616 GHz,0.00006988795000019868 - j0.00778507317060053803 
4.08401000000000014012 GHz,0.00006985373177854136 - j0.00778316221872951252 
4.08500999999999958590 GHz,0.00006981953868017401 - j0.00778125220099511617 
4.08600999999999991985 GHz,0.00006978537068115288 - j0.00777934311671173336 
4.08701000000000025381 GHz,0.00006975122775680826 - j0.00777743496519438422 
4.08800999999999969958 GHz,0.00006971710988304123 - j0.00777552774575878628 
4.08901000000000003354 GHz,0.00006968301703457144 - j0.00777362145772132057 
4.09001000000000036749 GHz,0.00006964894918785517 - j0.00777171610039901258 
4.09100999999999981327 GHz,0.00006961490631763394 - j0.00776981167310959037 
4.09201000000000014722 GHz,0.00006958088839942665 - j0.00776790817517142036 
4.09300999999999959300 GHz,0.00006954689540946444 - j0.00776600560590355420 
4.09400999999999992696 GHz,0.00006951292732298550 - j0.00776410396462568885 
4.09501000000000026091 GHz,0.00006947898411568472 - j0.00776220325065821084 
4.09600999999999970669 GHz,0.00006944506576396358 - j0.00776030346332215026 
4.09701000000000004064 GHz,0.00006941117224219893 - j0.00775840460193920421 
4.09801000000000037460 GHz,0.00006937730352729112 - j0.00775650666583173592 
4.09900999999999982037 GHz,0.00006934345959454226 - j0.00775460965432276782 
4.10001000000000015433 GHz,0.00006930964042020310 - j0.00775271356673597981 
4.10100999999999960011 GHz,0.00006927584598011553 - j0.00775081840239571791 
4.10200999999999993406 GHz,0.00006924207624915048 - j0.00774892416062697258 
4.10301000000000026802 GHz,0.00006920833120477889 - j0.00774703084075541257 
4.10400999999999971379 GHz,0.00006917461082171198 - j0.00774513844210734676 
4.10501000000000004775 GHz,0.00006914091507682170 - j0.00774324696400974840 
4.10601000000000038170 GHz,0.00006910724394499058 - j0.00774135640579024214 
4.10700999999999982748 GHz,0.00006907359740356903 - j0.00773946676677710835 
4.10801000000000016144 GHz,0.00006903997542744384 - j0.00773757804629927708 
4.10900999999999960721 GHz,0.00006900637799325955 - j0.00773569024368634620 
4.11000999999999994117 GHz,0.00006897280507738696 - j0.00773380335826854594 
4.11101000000000027512 GHz,0.00006893925665533128 - j0.00773191738937677956 
4.11200999999999972090 GHz,0.00006890573270344885 - j0.00773003233634258179 
4.11301000000000005485 GHz,0.00006887223319898841 - j0.00772814819849814219 
4.11401000000000038881 GHz,0.00006883875811725516 - j0.00772626497517630868 
4.11500999999999983459 GHz,0.00006880530743377098 - j0.00772438266571055538 
4.11601000000000016854 GHz,0.00006877188112670285 - j0.00772250126943503732 
4.11700999999999961432 GHz,0.00006873847917059141 - j0.00772062078568452621 
4.11800999999999994827 GHz,0.00006870510154245051 - j0.00771874121379445988 
4.11901000000000028223 GHz,0.00006867174821922564 - j0.00771686255310090417 
4.12000999999999972800 GHz,0.00006863841917648016 - j0.00771498480294057626 
4.12101000000000006196 GHz,0.00006860511439088206 - j0.00771310796265085776 
4.12201000000000039591 GHz,0.00006857183383968234 - j0.00771123203156972442 
4.12300999999999984169 GHz,0.00006853857749839969 - j0.00770935700903583893 
4.12401000000000017565 GHz,0.00006850534534396475 - j0.00770748289438849717 
4.12500999999999962142 GHz,0.00006847213735216772 - j0.00770560968696760822 
4.12600999999999995538 GHz,0.00006843895350113990 - j0.00770373738611375772 
4.12701000000000028933 GHz,0.00006840579376600679 - j0.00770186599116814367 
4.12800999999999973511 GHz,0.00006837265812433524 - j0.00769999550147260330 
4.12901000000000006906 GHz,0.00006833954655252773 - j0.00769812591636964867 
4.13001000000000040302 GHz,0.00006830645902689292 - j0.00769625723520236948 
4.13100999999999984880 GHz,0.00006827339552499705 - j0.00769438945731453026 
4.13201000000000018275 GHz,0.00006824035602229320 - j0.00769252258205051741 
4.13300999999999962853 GHz,0.00006820734049703071 - j0.00769065660875536700 
4.13400999999999996248 GHz,0.00006817434892531634 - j0.00768879153677473007 
4.13501000000000029644 GHz,0.00006814138128339967 - j0.00768692736545488649 
4.13600999999999974222 GHz,0.00006810843754942591 - j0.00768506409414277530 
4.13701000000000007617 GHz,0.00006807551769876958 - j0.00768320172218593406 
4.13801000000000041013 GHz,0.00006804262171052441 - j0.00768134024893256124 
4.13900999999999985590 GHz,0.00006800974955889282 - j0.00767947967373147199 
4.14001000000000018986 GHz,0.00006797690122320557 - j0.00767761999593209298 
4.14100999999999963563 GHz,0.00006794407667904481 - j0.00767576121488450485 
4.14200999999999996959 GHz,0.00006791127590392301 - j0.00767390332993940667 
4.14301000000000030354 GHz,0.00006787849887453518 - j0.00767204634044812636 
4.14400999999999974932 GHz,0.00006784574556960055 - j0.00767019024576260158 
4.14501000000000008328 GHz,0.00006781301596382332 - j0.00766833504523542313 
4.14601000000000041723 GHz,0.00006778031003545936 - j0.00766648073821977420 
4.14700999999999986301 GHz,0.00006774762776159714 - j0.00766462732406950412 
4.14801000000000019696 GHz,0.00006771496911940668 - j0.00766277480213903121 
4.14900999999999964274 GHz,0.00006768233408712300 - j0.00766092317178344341 
4.15000999999999997669 GHz,0.00006764972264059859 - j0.00765907243235842104 
4.15101000000000031065 GHz,0.00006761713475725395 - j0.00765722258322028108 
4.15200999999999975643 GHz,0.00006758457041524212 - j0.00765537362372596241 
4.15301000000000009038 GHz,0.00006755202959087811 - j0.00765352555323299630 
4.15401000000000042434 GHz,0.00006751951226268980 - j0.00765167837109955763 
4.15500999999999987011 GHz,0.00006748701840679270 - j0.00764983207668443795 
4.15601000000000020407 GHz,0.00006745454800162128 - j0.00764798666934703858 
4.15700999999999964984 GHz,0.00006742210102386051 - j0.00764614214844737232 
4.15800999999999998380 GHz,0.00006738967745160190 - j0.00764429851334607648 
4.15901000000000031775 GHz,0.00006735727726186867 - j0.00764245576340440418 
4.16000999999999976353 GHz,0.00006732490043247991 - j0.00764061389798422093 
4.16101000000000009749 GHz,0.00006729254694067758 - j0.00763877291644799242 
4.16201000000000043144 GHz,0.00006726021676475425 - j0.00763693281815881579 
4.16300999999999987722 GHz,0.00006722790988136461 - j0.00763509360248038407 
4.16401000000000021117 GHz,0.00006719562626874712 - j0.00763325526877701218 
4.16500999999999965695 GHz,0.00006716336590426544 - j0.00763141781641362999 
4.16600999999999999091 GHz,0.00006713112876548141 - j0.00762958124475575285 
4.16701000000000032486 GHz,0.00006709891483107143 - j0.00762774555316953363 
4.16800999999999977064 GHz,0.00006706672407726834 - j0.00762591074102172452 
4.16901000000000010459 GHz,0.00006703455648359885 - j0.00762407680767966753 
4.17001000000000043855 GHz,0.00006700241202594936 - j0.00762224375251133179 
4.17100999999999988432 GHz,0.00006697029068329288 - j0.00762041157488527101 
4.17201000000000021828 GHz,0.00006693819243388097 - j0.00761858027417068769 
4.17300999999999966406 GHz,0.00006690611725399434 - j0.00761674984973733250 
4.17400999999999999801 GHz,0.00006687406512262691 - j0.00761492030095560404 
4.17501000000000033197 GHz,0.00006684203601838221 - j0.00761309162719647509 
4.17600999999999977774 GHz,0.00006681002991782117 - j0.00761126382783153775 
4.17701000000000011170 GHz,0.00006677804679937110 - j0.00760943690223298171 
4.17800999999999955747 GHz,0.00006674608664153627 - j0.00760761084977359513 
4.17900999999999989143 GHz,0.00006671414942113912 - j0.00760578566982676035 
4.18001000000000022538 GHz,0.00006668223511800483 - j0.00760396136176647638 
4.18100999999999967116 GHz,0.00006665034370873657 - j0.00760213792496731901 
4.18201000000000000512 GHz,0.00006661847517224115 - j0.00760031535880448424 
4.18301000000000033907 GHz,0.00006658662948566577 - j0.00759849366265374655 
4.18400999999999978485 GHz,0.00006655480662867416 - j0.00759667283589149107 
4.18501000000000011880 GHz,0.00006652300657869096 - j0.00759485287789469707 
4.18600999999999956458 GHz,0.00006649122931377927 - j0.00759303378804091801 
4.18700999999999989853 GHz,0.00006645947481184713 - j0.00759121556570832752 
4.18801000000000023249 GHz,0.00006642774305247151 - j0.00758939821027568295 
4.18900999999999967827 GHz,0.00006639603401207787 - j0.00758758172112232801 
4.19001000000000001222 GHz,0.00006636434767036457 - j0.00758576609762822568 
4.19101000000000034618 GHz,0.00006633268400553071 - j0.00758395133917389320 
4.19200999999999979195 GHz,0.00006630104299584430 - j0.00758213744514045756 
4.19301000000000012591 GHz,0.00006626942461865961 - j0.00758032441490964163 
4.19400999999999957168 GHz,0.00006623782885428409 - j0.00757851224786374508 
4.19500999999999990564 GHz,0.00006620625567978370 - j0.00757670094338566951 
4.19601000000000023960 GHz,0.00006617470507384449 - j0.00757489050085888727 
4.19700999999999968537 GHz,0.00006614317701508525 - j0.00757308091966747698 
4.19801000000000001933 GHz,0.00006611167148272032 - j0.00757127219919608366 
4.19901000000000035328 GHz,0.00006608018845331405 - j0.00756946433882996379 
4.20000999999999979906 GHz,0.00006604872790839020 - j0.00756765733795492553 
4.20101000000000013301 GHz,0.00006601728982374403 - j0.00756585119595739892 
4.20200999999999957879 GHz,0.00006598587417984518 - j0.00756404591222437951 
4.20300999999999991275 GHz,0.00006595448095447760 - j0.00756224148614342666 
4.20401000000000024670 GHz,0.00006592311012667705 - j0.00756043791710271987 
4.20500999999999969248 GHz,0.00006589176167423873 - j0.00755863520449099636 
4.20601000000000002643 GHz,0.00006586043557750586 - j0.00755683334769758144 
4.20701000000000036039 GHz,0.00006582913181422412 - j0.00755503234611238413 
4.20800999999999980616 GHz,0.00006579785036276343 - j0.00755323219912587551 
4.20901000000000014012 GHz,0.00006576659120318881 - j0.00755143290612913468 
4.21000999999999958590 GHz,0.00006573535431315665 - j0.00754963446651378978 
4.21100999999999991985 GHz,0.00006570413967231516 - j0.00754783687967207004 
4.21201000000000025381 GHz,0.00006567294725919398 - j0.00754604014499676498 
4.21300999999999969958 GHz,0.00006564177705227144 - j0.00754424426188125396 
4.21401000000000003354 GHz,0.00006561062903103340 - j0.00754244922971948790 
4.21501000000000036749 GHz,0.00006557950317478317 - j0.00754065504790597894 
4.21600999999999981327 GHz,0.00006554839946099505 - j0.00753886171583582638 
4.21701000000000014722 GHz,0.00006551731787070327 - j0.00753706923290471068 
4.21800999999999959300 GHz,0.00006548625838178604 - j0.00753527759850886915 
4.21900999999999992696 GHz,0.00006545522097287431 - j0.00753348681204511154 
4.22001000000000026091 GHz,0.00006542420562386687 - j0.00753169687291083741 
4.22100999999999970669 GHz,0.00006539321231330583 - j0.00752990778050399712 
4.22201000000000004064 GHz,0.00006536224102146341 - j0.00752811953422313079 
4.22301000000000037460 GHz,0.00006533129172557331 - j0.00752633213346732069 
4.22400999999999982037 GHz,0.00006530036440645191 - j0.00752454557763624059 
4.22501000000000015433 GHz,0.00006526945904235696 - j0.00752275986613012721 
4.22600999999999960011 GHz,0.00006523857561380794 - j0.00752097499834978710 
4.22700999999999993406 GHz,0.00006520771409765215 - j0.00751919097369658021 
4.22801000000000026802 GHz,0.00006517687447561556 - j0.00751740779157244673 
4.22900999999999971379 GHz,0.00006514605672539096 - j0.00751562545137988893 
4.23001000000000004775 GHz,0.00006511526082747654 - j0.00751384395252197978 
4.23101000000000038170 GHz,0.00006508448676063447 - j0.00751206329440232048 
4.23200999999999982748 GHz,0.00006505373450398100 - j0.00751028347642513760 
4.23301000000000016144 GHz,0.00006502300403758448 - j0.00750850449799517553 
4.23400999999999960721 GHz,0.00006499229533948013 - j0.00750672635851774329 
4.23500999999999994117 GHz,0.00006496160839082856 - j0.00750494905739872847 
4.23601000000000027512 GHz,0.00006493094317027189 - j0.00750317259404458068 
4.23700999999999972090 GHz,0.00006490029965730872 - j0.00750139696786228122 
4.23801000000000005485 GHz,0.00006486967783228231 - j0.00749962217825940556 
4.23901000000000038881 GHz,0.00006483907767264413 - j0.00749784822464405910 
4.24000999999999983459 GHz,0.00006480849916064001 - j0.00749607510642494920 
4.24101000000000016854 GHz,0.00006477794227319516 - j0.00749430282301126894 
4.24200999999999961432 GHz,0.00006474740699237879 - j0.00749253137381283938 
4.24300999999999994827 GHz,0.00006471689329656172 - j0.00749076075823999158 
4.24401000000000028223 GHz,0.00006468640116522537 - j0.00748899097570363860 
4.24500999999999972800 GHz,0.00006465593057749903 - j0.00748722202561524341 
4.24601000000000006196 GHz,0.00006462548151517310 - j0.00748545390738680153 
4.24701000000000039591 GHz,0.00006459505395677244 - j0.00748368662043089571 
4.24800999999999984169 GHz,0.00006456464788148154 - j0.00748192016416063341 
4.24901000000000017565 GHz,0.00006453426326987290 - j0.00748015453798968940 
4.25000999999999962142 GHz,0.00006450390010144959 - j0.00747838974133229525 
4.25100999999999995538 GHz,0.00006447355835669994 - j0.00747662577360320903 
4.25201000000000028933 GHz,0.00006444323801440873 - j0.00747486263421777344 
4.25300999999999973511 GHz,0.00006441293905441069 - j0.00747310032259183767 
4.25401000000000006906 GHz,0.00006438266145833082 - j0.00747133883814185031 
4.25501000000000040302 GHz,0.00006435240520412458 - j0.00746957818028476991 
4.25600999999999984880 GHz,0.00006432217027253148 - j0.00746781834843811190 
4.25701000000000018275 GHz,0.00006429195664389641 - j0.00746605934201994680 
4.25800999999999962853 GHz,0.00006426176429680635 - j0.00746430116044889159 
4.25900999999999996248 GHz,0.00006423159321360380 - j0.00746254380314410361 
4.26001000000000029644 GHz,0.00006420144337186557 - j0.00746078726952527534 
4.26100999999999974222 GHz,0.00006417131475322532 - j0.00745903155901267521 
4.26201000000000007617 GHz,0.00006414120733805662 - j0.00745727667102707471 
4.26301000000000041013 GHz,0.00006411112110474943 - j0.00745552260498981954 
4.26400999999999985590 GHz,0.00006408105603488658 - j0.00745376936032279142 
4.26501000000000018986 GHz,0.00006405101210830373 - j0.00745201693644839767 
4.26600999999999963563 GHz,0.00006402098930497961 - j0.00745026533278961550 
4.26700999999999996959 GHz,0.00006399098760467320 - j0.00744851454876993471 
4.26801000000000030354 GHz,0.00006396100698873723 - j0.00744676458381340542 
4.26900999999999974932 GHz,0.00006393104743650451 - j0.00744501543734460512 
4.27001000000000008328 GHz,0.00006390110892916703 - j0.00744326710878864817 
4.27101000000000041723 GHz,0.00006387119144543565 - j0.00744151959757120493 
4.27200999999999986301 GHz,0.00006384129496725949 - j0.00743977290311847311 
4.27301000000000019696 GHz,0.00006381141947391044 - j0.00743802702485717344 
4.27400999999999964274 GHz,0.00006378156494685681 - j0.00743628196221458610 
4.27500999999999997669 GHz,0.00006375173136480075 - j0.00743453771461850127 
4.27601000000000031065 GHz,0.00006372191871023882 - j0.00743279428149728506 
4.27700999999999975643 GHz,0.00006369212696227367 - j0.00743105166227978498 
4.27801000000000009038 GHz,0.00006366235610094822 - j0.00742930985639542879 
4.27901000000000042434 GHz,0.00006363260610799751 - j0.00742756886327414906 
4.28000999999999987011 GHz,0.00006360287696291679 - j0.00742582868234642479 
4.28101000000000020407 GHz,0.00006357316864701174 - j0.00742408931304325715 
4.28200999999999964984 GHz,0.00006354348114024224 - j0.00742235075479618766 
4.28300999999999998380 GHz,0.00006351381442340107 - j0.00742061300703728433 
4.28401000000000031775 GHz,0.00006348416847705412 - j0.00741887606919914774 
4.28500999999999976353 GHz,0.00006345454328214410 - j0.00741713994071490235 
4.28601000000000009749 GHz,0.00006342493881875298 - j0.00741540462101819824 
4.28701000000000043144 GHz,0.00006339535506743438 - j0.00741367010954323280 
4.28800999999999987722 GHz,0.00006336579200954414 - j0.00741193640572471515 
4.28901000000000021117 GHz,0.00006333624962612250 - j0.00741020350899788613 
4.29000999999999965695 GHz,0.00006330672789631132 - j0.00740847141879850263 
4.29100999999999999091 GHz,0.00006327722680270845 - j0.00740674013456285498 
4.29201000000000032486 GHz,0.00006324774632466942 - j0.00740500965572777822 
